Model,Scenario,instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
DQN Agent 400e,0obstacles_1,sokoban-6-1_0obstacles_1,5.436331272125244,OK,10074,248,11309,250,4979,1,1093,1,417,,0,127
DQN Agent 1000e,0obstacles_1,sokoban-6-1_0obstacles_1,2.623819351196289,OK,4667,142,5126,143,2203,1,475,1,186,,0,130
Previous RL,0obstacles_1,sokoban-6-1_0obstacles_1,11.299646377563477,OK,11419,270,12898,273,10883,1,956,1,440,,0,127
RA,0obstacles_1,sokoban-6-1_0obstacles_1,43.022090435028076,OK,9168,288,10237,292,42583,1,815,1,316,,0,135
DQN Agent 400e,0obstacles_10,sokoban-6-1_0obstacles_10,0.9154911041259766,OK,850,194,933,194,492,1,70,1,27,,0,136
DQN Agent 1000e,0obstacles_10,sokoban-6-1_0obstacles_10,0.8781092166900635,OK,1273,114,1335,114,475,1,50,1,47,,0,127
Previous RL,0obstacles_10,sokoban-6-1_0obstacles_10,1.4757351875305176,OK,2997,94,3310,94,1090,1,197,1,101,,0,120
RA,0obstacles_10,sokoban-6-1_0obstacles_10,9.753493785858154,OK,2054,94,2224,94,9346,1,132,1,58,,0,136
DQN Agent 400e,0obstacles_2,sokoban-6-1_0obstacles_2,2.8667707443237305,OK,5316,286,5944,292,2454,1,555,1,207,,0,127
DQN Agent 1000e,0obstacles_2,sokoban-6-1_0obstacles_2,13.934023380279541,OK,12693,154,14275,154,13505,1,1633,1,541,,0,131
Previous RL,0obstacles_2,sokoban-6-1_0obstacles_2,25.922929763793945,OK,15956,154,18159,154,25472,1,1472,1,663,,0,128
RA,0obstacles_2,sokoban-6-1_0obstacles_2,81.82722067832947,OK,14030,258,15855,260,81395,1,1443,1,553,,0,115
DQN Agent 400e,0obstacles_3,sokoban-6-1_0obstacles_3,4.679151773452759,OK,7545,94,8483,94,4254,1,843,1,316,,0,123
DQN Agent 1000e,0obstacles_3,sokoban-6-1_0obstacles_3,0.7106187343597412,OK,228,134,232,134,324,1,3,1,9,,0,122
Previous RL,0obstacles_3,sokoban-6-1_0obstacles_3,1.4433057308197021,OK,2998,118,3303,120,1054,1,193,1,101,,0,128
RA,0obstacles_3,sokoban-6-1_0obstacles_3,8.989782571792603,OK,1890,94,2052,94,8580,1,117,1,54,,0,115
DQN Agent 400e,0obstacles_4,sokoban-6-1_0obstacles_4,8.370970964431763,OK,13710,316,15411,325,7905,1,1493,1,586,,0,128
DQN Agent 1000e,0obstacles_4,sokoban-6-1_0obstacles_4,9.013310194015503,OK,9108,528,10195,536,8562,1,1168,1,388,,0,119
Previous RL,0obstacles_4,sokoban-6-1_0obstacles_4,1.4613120555877686,OK,3295,140,3634,143,1091,1,216,1,102,,0,117
RA,0obstacles_4,sokoban-6-1_0obstacles_4,11.635045766830444,OK,2502,128,2722,130,11242,1,159,1,63,,0,130
DQN Agent 400e,0obstacles_5,sokoban-6-1_0obstacles_5,0.9175353050231934,OK,822,146,917,147,535,1,85,1,27,,0,124
DQN Agent 1000e,0obstacles_5,sokoban-6-1_0obstacles_5,14.280874013900757,OK,12732,274,14314,277,13842,1,1645,1,541,,0,121
Previous RL,0obstacles_5,sokoban-6-1_0obstacles_5,1.3133063316345215,OK,2518,230,2777,238,939,1,166,1,98,,0,117
RA,0obstacles_5,sokoban-6-1_0obstacles_5,9.097034931182861,OK,1888,158,2074,160,8716,1,143,1,61,,0,121
DQN Agent 400e,0obstacles_6,sokoban-6-1_0obstacles_6,5.0292274951934814,OK,8608,128,9674,131,4561,1,953,1,352,,0,123
DQN Agent 1000e,0obstacles_6,sokoban-6-1_0obstacles_6,2.0895330905914307,OK,3573,308,3969,312,1635,1,441,1,165,,0,118
Previous RL,0obstacles_6,sokoban-6-1_0obstacles_6,1.2061784267425537,OK,1781,128,1957,131,809,1,110,1,48,,0,113
RA,0obstacles_6,sokoban-6-1_0obstacles_6,5.831335067749023,OK,1144,202,1240,207,5450,1,71,1,31,,0,116
DQN Agent 400e,0obstacles_7,sokoban-6-1_0obstacles_7,2.981166362762451,OK,6309,214,7053,218,2575,1,645,1,256,,0,119
DQN Agent 1000e,0obstacles_7,sokoban-6-1_0obstacles_7,0.8976671695709229,OK,717,102,777,102,484,1,58,1,25,,0,125
Previous RL,0obstacles_7,sokoban-6-1_0obstacles_7,1.0714502334594727,OK,1571,248,1741,256,703,1,111,1,54,,0,117
RA,0obstacles_7,sokoban-6-1_0obstacles_7,5.403261184692383,OK,1004,126,1095,128,5019,1,69,1,33,,0,122
