episode,starting_total_steps,starting_epsilon,is_win,avg_loss,reward,win,steps,composition_size
0,0,1.0,False,1.0148041150341296,-1743.919999999998,False,292,"(0, 0)"
1,0,0.9972112676056338,True,8.57408595614963,-510.2499999999982,True,225,"(0, 0)"
2,0,0.9944225352112676,True,7.612274565988657,-510.449999999998,True,245,"(0, 0)"
3,0,0.9916338028169014,False,6.914098170522141,-1349.919999999998,False,292,"(0, 0)"
4,0,0.9888450704225352,False,6.439031215563213,-1349.9199999999983,False,292,"(0, 0)"
5,0,0.986056338028169,True,7.15083207204504,-117.02999999999912,True,103,"(0, 0)"
6,0,0.9832676056338028,True,7.218706474268346,-706.6599999999985,True,266,"(0, 0)"
7,0,0.9804788732394366,False,7.219763071569678,-1212.9199999999978,False,292,"(0, 0)"
8,0,0.9776901408450704,True,7.334416892014298,78.9800000000007,True,102,"(0, 0)"
9,0,0.9749014084507043,False,7.685989241893977,-979.9199999999979,False,292,"(0, 0)"
10,0,0.972112676056338,False,7.894132067079413,-1132.919999999999,False,292,"(0, 0)"
11,0,0.9693239436619718,False,7.719919904454113,29.079999999999878,False,292,"(0, 0)"
12,0,0.9665352112676057,False,7.5042006422395575,-641.9199999999976,False,292,"(0, 0)"
13,0,0.9637464788732394,True,7.656614252737352,-706.8599999999975,True,286,"(0, 0)"
14,0,0.9609577464788732,True,7.37288350593753,79.1800000000002,True,82,"(0, 0)"
15,0,0.958169014084507,False,7.389145912781154,-1216.9199999999976,False,292,"(0, 0)"
16,0,0.9553802816901409,False,7.2704942675486,-368.9199999999986,False,292,"(0, 0)"
17,0,0.9525915492957746,True,7.278570652008057,-117.82999999999868,True,183,"(0, 0)"
18,0,0.9498028169014084,False,6.897202162301704,-1566.9199999999973,False,292,"(0, 0)"
19,0,0.9470140845070423,False,6.992782678097894,-561.9199999999978,False,292,"(0, 0)"
20,0,0.944225352112676,True,6.465874796182337,78.58000000000037,True,142,"(0, 0)"
21,0,0.9414366197183098,False,6.8611680203921175,-1606.9199999999973,False,292,"(0, 0)"
22,0,0.9386478873239437,False,6.717861053061812,-601.9199999999976,False,292,"(0, 0)"
23,0,0.9358591549295775,False,6.814424530284046,-1152.9199999999976,False,292,"(0, 0)"
24,0,0.9330704225352113,False,6.670226132216519,-738.9199999999978,False,292,"(0, 0)"
25,0,0.930281690140845,True,6.277310242567362,-118.229999999999,True,223,"(0, 0)"
26,0,0.9274929577464789,True,6.597524639331933,-314.63999999999874,True,264,"(0, 0)"
27,0,0.9247042253521127,True,6.636865803893183,78.58000000000088,True,142,"(0, 0)"
28,0,0.9219154929577464,True,6.6316051027162475,-117.8299999999989,True,183,"(0, 0)"
29,0,0.9191267605633803,True,6.403184413909912,-313.4399999999988,True,144,"(0, 0)"
30,0,0.9163380281690141,False,6.353735495103549,-1747.9199999999973,False,292,"(0, 0)"
31,0,0.9135492957746479,True,6.859731627423227,-1294.0899999999983,True,209,"(0, 0)"
32,0,0.9107605633802817,True,6.753232769427761,-705.8599999999983,True,186,"(0, 0)"
33,0,0.9079718309859155,True,6.609041126874777,-313.0399999999994,True,104,"(0, 0)"
34,0,0.9051830985915493,True,6.767089982530964,273.9899999999999,True,201,"(0, 0)"
35,0,0.9023943661971832,True,6.614416278109831,-1489.6999999999985,True,170,"(0, 0)"
36,0,0.8996056338028169,False,6.91517186164856,-1703.9199999999973,False,292,"(0, 0)"
37,0,0.8968169014084507,True,7.074127031556258,274.59000000000003,True,141,"(0, 0)"
38,0,0.8940281690140846,True,6.6796023562052,-1294.6899999999976,True,269,"(0, 0)"
39,0,0.8912394366197183,False,6.9021517258800875,-995.9199999999978,False,292,"(0, 0)"
40,0,0.8884507042253521,False,6.952099824604923,-1980.919999999998,False,292,"(0, 0)"
41,0,0.8856619718309859,False,6.9895378277726365,-955.9199999999976,False,292,"(0, 0)"
42,0,0.8828732394366198,True,6.799241459830689,274.18999999999994,True,181,"(0, 0)"
43,0,0.8800845070422535,False,6.952138714594383,-915.9199999999977,False,292,"(0, 0)"
44,0,0.8772957746478873,False,6.999234482033612,-935.9199999999986,False,292,"(0, 0)"
45,0,0.8745070422535212,False,6.839129885582075,-1783.9199999999973,False,292,"(0, 0)"
46,0,0.871718309859155,False,6.9655325241284825,-778.9199999999976,False,292,"(0, 0)"
47,0,0.8689295774647887,True,6.9840483826559945,77.78000000000034,True,222,"(0, 0)"
48,0,0.8661408450704225,True,7.187000919790829,78.9800000000003,True,102,"(0, 0)"
49,0,0.8633521126760564,False,6.892588187570441,-915.919999999998,False,292,"(0, 0)"
50,0,0.8605633802816901,False,6.843127028582847,-975.9199999999976,False,292,"(0, 0)"
51,0,0.8577746478873239,False,6.668809287352104,-1212.9199999999994,False,292,"(0, 0)"
