episode,starting_total_steps,starting_epsilon,is_win,avg_loss,reward,win,steps,composition_size
0,0,1.0,False,0.0,-467.23999999999944,False,124,"(0, 0)"
1,0,0.9988851351351351,True,0.0,-192.64999999999952,True,65,"(0, 0)"
2,0,0.9977702702702703,True,1.1483626308895292,-108.83999999999948,True,84,"(0, 0)"
3,0,0.9966554054054054,True,5.6733254825367645,-192.84999999999962,True,85,"(0, 0)"
4,0,0.9955405405405405,True,6.7564816694993235,-192.64999999999952,True,65,"(0, 0)"
5,0,0.9944256756756756,False,6.316493145881161,-572.2399999999992,False,124,"(0, 0)"
6,0,0.9933108108108109,True,5.0246505189216,-360.8699999999993,True,87,"(0, 0)"
7,0,0.992195945945946,True,5.070069605395908,-108.83999999999953,True,84,"(0, 0)"
8,0,0.9910810810810811,True,5.122144226104982,59.37999999999998,True,62,"(0, 0)"
9,0,0.9899662162162162,False,5.111377369972967,-382.239999999999,False,124,"(0, 0)"
10,0,0.9888513513513514,False,4.9513010863334905,-1252.239999999999,False,124,"(0, 0)"
11,0,0.9877364864864865,False,4.82787162065506,-382.2399999999991,False,124,"(0, 0)"
12,0,0.9866216216216216,False,4.032499194145203,-232.239999999999,False,124,"(0, 0)"
13,0,0.9855067567567568,True,3.5119275392270555,58.98000000000003,True,102,"(0, 0)"
14,0,0.9843918918918919,False,3.197467202140439,-147.23999999999936,False,124,"(0, 0)"
15,0,0.983277027027027,False,3.1577397719506295,-1232.239999999999,False,124,"(0, 0)"
16,0,0.9821621621621621,False,3.249546589389924,-552.2399999999998,False,124,"(0, 0)"
17,0,0.9810472972972973,True,3.1538613637288413,58.97999999999996,True,102,"(0, 0)"
18,0,0.9799324324324324,True,2.9912167489528656,-108.83999999999985,True,84,"(0, 0)"
19,0,0.9788175675675675,False,3.193783826405002,-447.239999999999,False,124,"(0, 0)"
20,0,0.9777027027027027,False,3.0863199426281835,-957.2399999999993,False,124,"(0, 0)"
21,0,0.9765878378378379,False,3.12638735002087,-722.239999999999,False,124,"(0, 0)"
22,0,0.975472972972973,False,3.4291558506027346,-487.2399999999996,False,124,"(0, 0)"
23,0,0.9743581081081081,False,3.1181270095609848,-552.239999999999,False,124,"(0, 0)"
24,0,0.9732432432432433,True,3.098255206478967,-612.8999999999993,True,90,"(0, 0)"
