Model,Scenario,instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
DQN Agent 400e,0obstacles_1,sokoban-7-1_0obstacles_1,3.6952457427978516,OK,8402,306,9296,310,3214,1,945,1,304,,0,148
DQN Agent 1000e,0obstacles_1,sokoban-7-1_0obstacles_1,3.0975849628448486,OK,8893,334,9871,337,2631,1,915,1,300,,0,155
Previous RL,0obstacles_1,sokoban-7-1_0obstacles_1,0.9896299839019775,OK,797,54,855,54,548,1,36,1,35,,0,166
RA,0obstacles_1,sokoban-7-1_0obstacles_1,6.436380624771118,OK,510,54,534,54,5923,1,19,1,20,,0,164
DQN Agent 400e,0obstacles_10,sokoban-7-1_0obstacles_10,0.8459732532501221,OK,414,100,459,100,391,1,57,1,16,,0,159
DQN Agent 1000e,0obstacles_10,sokoban-7-1_0obstacles_10,44.08742690086365,OK,25540,232,28293,232,43606,1,2631,1,855,,0,156
Previous RL,0obstacles_10,sokoban-7-1_0obstacles_10,1.1172356605529785,OK,700,196,799,204,700,1,69,1,23,,0,155
RA,0obstacles_10,sokoban-7-1_0obstacles_10,7.321914434432983,OK,668,252,760,263,6820,1,71,1,22,,0,157
DQN Agent 400e,0obstacles_2,sokoban-7-1_0obstacles_2,5.629633665084839,OK,7168,248,8180,250,5160,1,1013,1,268,,0,170
DQN Agent 1000e,0obstacles_2,sokoban-7-1_0obstacles_2,0.8599164485931396,OK,343,120,357,120,434,1,15,1,8,,0,155
Previous RL,0obstacles_2,sokoban-7-1_0obstacles_2,1.0780723094940186,OK,1064,148,1166,152,659,1,68,1,29,,0,144
RA,0obstacles_2,sokoban-7-1_0obstacles_2,8.223087549209595,OK,772,160,860,165,7720,1,68,1,26,,0,159
DQN Agent 400e,0obstacles_3,sokoban-7-1_0obstacles_3,7.3598761558532715,OK,11030,354,12372,354,6861,1,1358,1,406,,0,169
DQN Agent 1000e,0obstacles_3,sokoban-7-1_0obstacles_3,3.77494215965271,OK,6097,302,6625,303,3289,1,511,1,188,,0,164
Previous RL,0obstacles_3,sokoban-7-1_0obstacles_3,20.1870174407959,OK,14552,506,16428,520,19697,1,1192,1,426,,0,157
RA,0obstacles_3,sokoban-7-1_0obstacles_3,96.06820154190063,OK,11264,250,12532,255,95533,1,877,1,310,,0,154
DQN Agent 400e,0obstacles_4,sokoban-7-1_0obstacles_4,1.741511583328247,OK,4472,266,4836,266,1288,1,346,1,132,,0,143
DQN Agent 1000e,0obstacles_4,sokoban-7-1_0obstacles_4,4.1783223152160645,OK,6799,474,7387,478,3706,1,575,1,202,,0,158
Previous RL,0obstacles_4,sokoban-7-1_0obstacles_4,8.122561693191528,OK,10193,290,11447,295,7651,1,811,1,320,,0,156
RA,0obstacles_4,sokoban-7-1_0obstacles_4,63.541847705841064,OK,7928,238,8805,244,63011,1,657,1,237,,0,150
DQN Agent 400e,0obstacles_5,sokoban-7-1_0obstacles_5,6.202824592590332,OK,10656,414,11922,414,5703,1,1325,1,396,,0,165
DQN Agent 1000e,0obstacles_5,sokoban-7-1_0obstacles_5,11.988984107971191,OK,12537,210,13707,210,11494,1,1142,1,397,,0,155
Previous RL,0obstacles_5,sokoban-7-1_0obstacles_5,2.9096341133117676,OK,5936,130,6581,132,2463,1,398,1,164,,0,162
RA,0obstacles_5,sokoban-7-1_0obstacles_5,34.17138934135437,OK,4316,130,4716,132,33696,1,272,1,107,,0,143
DQN Agent 400e,0obstacles_6,sokoban-7-1_0obstacles_6,14.91837453842163,OK,20162,450,22523,453,14428,1,2241,1,691,,0,159
DQN Agent 1000e,0obstacles_6,sokoban-7-1_0obstacles_6,5.297777414321899,OK,8028,234,8749,234,4815,1,708,1,243,,0,159
Previous RL,0obstacles_6,sokoban-7-1_0obstacles_6,2.5219454765319824,OK,5023,218,5620,224,2054,1,374,1,156,,0,159
RA,0obstacles_6,sokoban-7-1_0obstacles_6,29.717976331710815,OK,3552,194,3916,198,29248,1,254,1,106,,0,145
DQN Agent 400e,0obstacles_7,sokoban-7-1_0obstacles_7,4.36310601234436,OK,7889,260,8811,260,3853,1,998,1,305,,0,152
DQN Agent 1000e,0obstacles_7,sokoban-7-1_0obstacles_7,6.556751012802124,OK,10364,96,11303,96,6091,1,911,1,328,,0,152
Previous RL,0obstacles_7,sokoban-7-1_0obstacles_7,2.8973946571350098,OK,5996,314,6659,323,2441,1,413,1,164,,0,161
RA,0obstacles_7,sokoban-7-1_0obstacles_7,30.965089559555054,OK,3798,96,4150,96,30471,1,245,1,94,,0,158
DQN Agent 400e,0obstacles_8,sokoban-7-1_0obstacles_8,5.001187324523926,OK,8041,226,9022,226,4525,1,1004,1,312,,0,157
DQN Agent 1000e,0obstacles_8,sokoban-7-1_0obstacles_8,1.0087394714355469,OK,1557,162,1676,162,561,1,106,1,38,,0,149
Previous RL,0obstacles_8,sokoban-7-1_0obstacles_8,2.680142641067505,OK,5467,236,5980,241,2222,1,311,1,126,,0,156
RA,0obstacles_8,sokoban-7-1_0obstacles_8,26.96746850013733,OK,3316,170,3617,174,26460,1,206,1,65,,0,166
DQN Agent 400e,0obstacles_9,sokoban-7-1_0obstacles_9,3.4909698963165283,OK,4634,202,5244,204,3002,1,635,1,165,,0,159
DQN Agent 1000e,0obstacles_9,sokoban-7-1_0obstacles_9,24.94451069831848,OK,18537,660,20269,665,24450,1,1640,1,594,,0,168
Previous RL,0obstacles_9,sokoban-7-1_0obstacles_9,4.479384422302246,OK,7793,208,8724,213,4015,1,587,1,240,,0,156
RA,0obstacles_9,sokoban-7-1_0obstacles_9,45.87525820732117,OK,5706,196,6307,200,45379,1,407,1,164,,0,153
DQN Agent 400e,1obstacles_1,sokoban-7-1_1obstacles_1,9.677032709121704,OK,14568,508,16320,520,9105,1,1774,1,525,,0,156
DQN Agent 1000e,1obstacles_1,sokoban-7-1_1obstacles_1,2.856349229812622,OK,5670,384,6149,389,2342,1,458,1,173,,0,158
Previous RL,1obstacles_1,sokoban-7-1_1obstacles_1,7.884296178817749,OK,10458,296,11732,304,7403,1,807,1,323,,0,174
RA,1obstacles_1,sokoban-7-1_1obstacles_1,67.15292310714722,OK,8064,196,8936,199,66636,1,604,1,244,,0,160
DQN Agent 400e,1obstacles_10,sokoban-7-1_1obstacles_10,8.945065975189209,OK,14077,264,15763,264,8447,1,1711,1,509,,0,158
DQN Agent 1000e,1obstacles_10,sokoban-7-1_1obstacles_10,1.6836693286895752,OK,3811,260,4143,260,1232,1,303,1,120,,0,157
Previous RL,1obstacles_10,sokoban-7-1_1obstacles_10,14.598323583602905,OK,13090,328,14743,337,14107,1,1050,1,392,,0,164
RA,1obstacles_10,sokoban-7-1_1obstacles_10,84.73511743545532,OK,10146,274,11265,278,84220,1,766,1,273,,0,163
DQN Agent 400e,1obstacles_2,sokoban-7-1_1obstacles_2,2.621323347091675,OK,4311,116,4834,116,2146,1,569,1,164,,0,164
DQN Agent 1000e,1obstacles_2,sokoban-7-1_1obstacles_2,0.798590898513794,OK,190,132,196,132,367,1,7,1,4,,0,154
Previous RL,1obstacles_2,sokoban-7-1_1obstacles_2,1.0650672912597656,OK,1588,138,1709,141,653,1,77,1,49,,0,144
RA,1obstacles_2,sokoban-7-1_1obstacles_2,8.73431396484375,OK,862,72,916,72,8250,1,38,1,26,,0,153
DQN Agent 400e,1obstacles_3,sokoban-7-1_1obstacles_3,6.868008136749268,OK,12490,352,13939,352,6369,1,1382,1,414,,0,169
DQN Agent 1000e,1obstacles_3,sokoban-7-1_1obstacles_3,0.801227331161499,OK,427,120,447,120,370,1,20,1,9,,0,149
Previous RL,1obstacles_3,sokoban-7-1_1obstacles_3,1.3019542694091797,OK,1080,240,1200,250,841,1,81,1,33,,0,153
