Model,Scenario,instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
DQN Agent 1000e,1obstacles_2,sokoban-7-1_1obstacles_2,0.7749621868133545,OK,198,132,210,132,335,1,16,1,8,,0,159
Previous RL,1obstacles_2,sokoban-7-1_1obstacles_2,1.1029376983642578,OK,1588,138,1709,141,679,1,77,1,49,,0,148
DQN Agent 400e,1obstacles_3,sokoban-7-1_1obstacles_3,1.5125758647918701,OK,2594,262,2875,273,1074,1,296,1,84,,0,146
DQN Agent 1000e,1obstacles_3,sokoban-7-1_1obstacles_3,5.709309339523315,OK,6027,120,6916,120,5225,1,915,1,227,,0,145
Previous RL,1obstacles_3,sokoban-7-1_1obstacles_3,1.0527558326721191,OK,1080,240,1200,250,619,1,81,1,33,,0,150
DQN Agent 400e,1obstacles_4,sokoban-7-1_1obstacles_4,1.7949907779693604,OK,7134,84,7729,84,1347,1,453,1,276,,0,154
DQN Agent 1000e,1obstacles_4,sokoban-7-1_1obstacles_4,8.789702892303467,OK,11577,146,13230,147,8313,1,1757,1,443,,0,178
Previous RL,1obstacles_4,sokoban-7-1_1obstacles_4,1.535799264907837,OK,3165,268,3455,275,1038,1,179,1,91,,0,167
DQN Agent 400e,1obstacles_5,sokoban-7-1_1obstacles_5,1.6334800720214844,OK,4649,42,5126,42,1175,1,355,1,153,,0,166
DQN Agent 1000e,1obstacles_5,sokoban-7-1_1obstacles_5,7.3853371143341064,OK,10252,326,11676,326,6934,1,1492,1,386,,0,147
Previous RL,1obstacles_5,sokoban-7-1_1obstacles_5,0.8832638263702393,OK,342,42,365,42,433,1,13,1,17,,0,170
DQN Agent 400e,1obstacles_6,sokoban-7-1_1obstacles_6,7.059046506881714,OK,13673,92,15215,92,6593,1,1435,1,489,,0,161
DQN Agent 1000e,1obstacles_6,sokoban-7-1_1obstacles_6,6.350424289703369,OK,8172,212,9336,212,5896,1,1222,1,310,,0,151
Previous RL,1obstacles_6,sokoban-7-1_1obstacles_6,1.0507099628448486,OK,1560,72,1674,72,642,1,71,1,49,,0,150
DQN Agent 400e,1obstacles_7,sokoban-7-1_1obstacles_7,17.63111138343811,OK,15505,292,17546,300,17164,1,2123,1,569,,0,157
