instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
sokoban-6-1_0obstacles_1,2.303054094314575,OK,4384,284,4929,284,1913,1,463,1,200,,0,117
sokoban-6-1_0obstacles_10,2.635170221328736,OK,4344,306,4911,315,2218,1,483,1,200,,0,122
sokoban-6-1_0obstacles_2,2.365841150283813,OK,4403,234,4948,234,1958,1,462,1,201,,0,120
sokoban-6-1_0obstacles_3,9.090052843093872,OK,11778,288,13396,295,8673,1,1386,1,549,,0,118
sokoban-6-1_0obstacles_4,22.2468376159668,OK,17733,272,20220,281,21830,1,2132,1,814,,0,116
sokoban-6-1_0obstacles_5,0.9461715221405028,OK,1040,240,1160,243,558,1,102,1,49,,0,116
sokoban-6-1_0obstacles_6,19.61173915863037,OK,16868,422,19235,433,19198,1,2021,1,780,,0,107
sokoban-6-1_0obstacles_7,5.135181665420532,OK,7976,338,9070,346,4723,1,951,1,368,,0,119
sokoban-6-1_0obstacles_8,4.699634552001953,OK,7771,552,8755,567,4257,1,832,1,349,,0,118
sokoban-6-1_0obstacles_9,1.9727184772491453,OK,3571,184,4035,187,1593,1,400,1,162,,0,120
sokoban-6-1_1obstacles_1,5.009070873260498,OK,8158,502,9198,511,4580,1,892,1,376,,0,123
sokoban-6-1_1obstacles_10,1.9621968269348145,OK,4054,278,4563,285,1553,1,444,1,186,,0,122
sokoban-6-1_1obstacles_2,7.312724590301514,OK,10605,266,12065,270,6905,1,1264,1,494,,0,125
sokoban-6-1_1obstacles_3,2.662688970565796,OK,4344,306,4911,315,2255,1,483,1,200,,0,117
sokoban-6-1_1obstacles_4,7.064764022827148,OK,10171,338,11580,346,6667,1,1218,1,473,,0,114
sokoban-6-1_1obstacles_5,1.814201593399048,OK,3379,194,3813,197,1439,1,383,1,156,,0,116
sokoban-6-1_1obstacles_6,10.315436601638794,OK,12768,118,14519,120,9904,1,1501,1,595,,0,119
sokoban-6-1_1obstacles_7,13.465619564056396,OK,14286,144,16253,144,13058,1,1695,1,658,,0,118
sokoban-6-1_1obstacles_8,7.806248664855957,OK,10662,356,12128,363,7401,1,1260,1,496,,0,115
sokoban-6-1_1obstacles_9,15.779703140258787,OK,15390,994,17518,1020,15343,1,1824,1,707,,0,118
sokoban-6-1_2obstacles_1,2.186243295669556,OK,3873,130,4376,130,1753,1,469,1,233,,0,123
sokoban-6-1_2obstacles_10,2.399235486984253,OK,4380,416,4924,419,2003,1,490,1,264,,0,110
sokoban-6-1_2obstacles_2,5.54091215133667,OK,9493,390,10812,398,5124,1,1189,1,534,,0,119
sokoban-6-1_2obstacles_3,4.755115032196045,OK,8203,310,9342,314,4343,1,1038,1,511,,0,116
sokoban-6-1_2obstacles_4,4.962611436843872,OK,7097,376,8055,385,4552,1,878,1,413,,0,112
sokoban-6-1_2obstacles_5,5.349874973297119,OK,8516,374,9708,386,4937,1,1085,1,508,,0,122
sokoban-6-1_2obstacles_6,6.789953231811523,OK,10050,286,11449,292,6363,1,1257,1,523,,0,116
sokoban-6-1_2obstacles_7,3.027036190032959,OK,6236,258,7028,259,2621,1,681,1,329,,0,121
sokoban-6-1_2obstacles_8,6.347015619277954,OK,10610,302,12053,305,5938,1,1317,1,658,,0,122
sokoban-6-1_2obstacles_9,7.58643364906311,OK,10691,410,12152,422,7167,1,1267,1,582,,0,121
sokoban-6-1_3obstacles_1,2.488187313079834,OK,4629,276,5295,278,2087,1,608,1,278,,0,114
sokoban-6-1_3obstacles_10,7.230360269546509,OK,10388,282,11831,285,6806,1,1277,1,588,,0,111
sokoban-6-1_3obstacles_2,1.993411540985108,OK,3593,318,4065,323,1567,1,434,1,186,,0,114
sokoban-6-1_3obstacles_3,7.743389844894409,OK,12849,370,14620,381,7331,1,1605,1,863,,0,118
sokoban-6-1_3obstacles_4,4.434256553649902,OK,7741,322,8839,326,4028,1,935,1,475,,0,118
sokoban-6-1_3obstacles_5,4.338024139404297,OK,7406,216,8429,218,3903,1,950,1,473,,0,124
sokoban-6-1_3obstacles_6,7.958219289779663,OK,9964,86,11360,88,7557,1,1259,1,598,,0,116
sokoban-6-1_3obstacles_7,7.305133104324341,OK,10354,304,11816,307,6888,1,1378,1,632,,0,124
sokoban-6-1_3obstacles_8,8.440251350402832,OK,11468,196,13041,199,8028,1,1450,1,726,,0,120
sokoban-6-1_3obstacles_9,14.14453387260437,OK,14558,302,16611,305,13730,1,1803,1,939,,0,121
sokoban-6-1_4obstacles_1,3.0972611904144287,OK,6008,380,6835,390,2670,1,790,1,442,,0,127
sokoban-6-1_4obstacles_10,2.000877141952514,OK,3690,222,4163,225,1620,1,446,1,261,,0,119
