Model,Scenario,instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
DQN Agent 400e,0obstacles_1,sokoban-6-1_0obstacles_1,2.4918458461761475,OK,6224,180,6873,180,2089,1,547,1,236,,0,110
DQN Agent 1000e,0obstacles_1,sokoban-6-1_0obstacles_1,7.61910605430603,OK,11873,220,13392,220,7186,1,1243,1,496,,0,125
Previous RL,0obstacles_1,sokoban-6-1_0obstacles_1,10.888176679611206,OK,11419,270,12898,273,10447,1,956,1,440,,0,117
DQN Agent 400e,0obstacles_10,sokoban-6-1_0obstacles_10,1.0362918376922607,OK,1682,114,1861,114,653,1,150,1,58,,0,113
DQN Agent 1000e,0obstacles_10,sokoban-6-1_0obstacles_10,3.9654417037963867,OK,7161,128,7997,130,3553,1,671,1,283,,0,121
Previous RL,0obstacles_10,sokoban-6-1_0obstacles_10,1.3810703754425049,OK,2997,94,3310,94,992,1,197,1,101,,0,119
DQN Agent 400e,0obstacles_2,sokoban-6-1_0obstacles_2,1.9501874446868896,OK,4437,134,4950,134,1547,1,417,1,172,,0,113
DQN Agent 1000e,0obstacles_2,sokoban-6-1_0obstacles_2,5.538816690444946,OK,9637,154,10807,154,5103,1,936,1,389,,0,120
Previous RL,0obstacles_2,sokoban-6-1_0obstacles_2,23.53566598892212,OK,15956,154,18159,154,23099,1,1472,1,663,,0,119
DQN Agent 400e,0obstacles_3,sokoban-6-1_0obstacles_3,1.5685205459594727,OK,4198,114,4638,114,1155,1,358,1,141,,0,122
DQN Agent 1000e,0obstacles_3,sokoban-6-1_0obstacles_3,7.0876030921936035,OK,13858,256,15568,260,6674,1,1363,1,573,,0,117
Previous RL,0obstacles_3,sokoban-6-1_0obstacles_3,1.3375129699707031,OK,2998,118,3303,120,948,1,193,1,101,,0,122
DQN Agent 400e,0obstacles_4,sokoban-6-1_0obstacles_4,1.3280432224273682,OK,3573,244,3927,249,933,1,295,1,127,,0,117
DQN Agent 1000e,0obstacles_4,sokoban-6-1_0obstacles_4,9.716365337371826,OK,14806,304,16635,310,9311,1,1464,1,611,,0,117
Previous RL,0obstacles_4,sokoban-6-1_0obstacles_4,1.5189189910888672,OK,3295,140,3634,143,1102,1,216,1,102,,0,121
DQN Agent 400e,0obstacles_5,sokoban-6-1_0obstacles_5,1.4481027126312256,OK,3603,352,4000,366,1062,1,349,1,150,,0,112
DQN Agent 1000e,0obstacles_5,sokoban-6-1_0obstacles_5,0.860973596572876,OK,1493,124,1625,124,487,1,115,1,56,,0,119
Previous RL,0obstacles_5,sokoban-6-1_0obstacles_5,1.3244929313659668,OK,2518,230,2777,238,951,1,166,1,98,,0,122
DQN Agent 400e,0obstacles_6,sokoban-6-1_0obstacles_6,6.697332143783569,OK,10447,192,11841,193,6294,1,1315,1,477,,0,111
DQN Agent 1000e,0obstacles_6,sokoban-6-1_0obstacles_6,1.9336142539978027,OK,4154,116,4590,118,1535,1,354,1,166,,0,123
Previous RL,0obstacles_6,sokoban-6-1_0obstacles_6,1.0637729167938232,OK,1781,128,1957,131,697,1,110,1,48,,0,123
DQN Agent 400e,0obstacles_7,sokoban-6-1_0obstacles_7,1.0739212036132812,OK,2330,122,2573,122,696,1,201,1,81,,0,116
DQN Agent 1000e,0obstacles_7,sokoban-6-1_0obstacles_7,3.585495710372925,OK,10338,138,11522,141,3166,1,952,1,412,,0,124
Previous RL,0obstacles_7,sokoban-6-1_0obstacles_7,1.0533387660980225,OK,1571,248,1741,256,677,1,111,1,54,,0,108
DQN Agent 400e,0obstacles_8,sokoban-6-1_0obstacles_8,5.009796857833862,OK,11082,174,12405,176,4536,1,1146,1,487,,0,117
DQN Agent 1000e,0obstacles_8,sokoban-6-1_0obstacles_8,6.41056227684021,OK,9813,130,11077,132,5987,1,1038,1,410,,0,117
Previous RL,0obstacles_8,sokoban-6-1_0obstacles_8,2.630178451538086,OK,5868,130,6522,132,2225,1,407,1,196,,0,119
DQN Agent 400e,0obstacles_9,sokoban-6-1_0obstacles_9,0.8789527416229248,OK,1018,124,1123,124,495,1,87,1,35,,0,120
DQN Agent 1000e,0obstacles_9,sokoban-6-1_0obstacles_9,5.186585903167725,OK,9615,140,10764,143,4770,1,907,1,387,,0,116
Previous RL,0obstacles_9,sokoban-6-1_0obstacles_9,1.500605821609497,OK,3258,116,3578,117,1103,1,203,1,102,,0,121
DQN Agent 400e,1obstacles_1,sokoban-6-1_1obstacles_1,8.66631031036377,OK,15528,240,17447,244,8207,1,1678,1,670,,0,118
DQN Agent 1000e,1obstacles_1,sokoban-6-1_1obstacles_1,4.7177112102508545,OK,7995,316,8901,321,4257,1,735,1,321,,0,119
Previous RL,1obstacles_1,sokoban-6-1_1obstacles_1,17.56217885017395,OK,13760,666,15587,678,17126,1,1207,1,561,,0,121
DQN Agent 400e,1obstacles_10,sokoban-6-1_1obstacles_10,0.8488588333129883,OK,922,90,1037,90,470,1,93,1,33,,0,121
DQN Agent 1000e,1obstacles_10,sokoban-6-1_1obstacles_10,2.6786959171295166,OK,6520,284,7271,287,2286,1,619,1,263,,0,118
Previous RL,1obstacles_10,sokoban-6-1_1obstacles_10,0.8447303771972656,OK,536,198,608,207,464,1,50,1,21,,0,119
DQN Agent 400e,1obstacles_2,sokoban-6-1_1obstacles_2,7.725729465484619,OK,11326,312,12835,313,7303,1,1413,1,521,,0,127
DQN Agent 1000e,1obstacles_2,sokoban-6-1_1obstacles_2,5.361399173736572,OK,10195,282,11518,289,4940,1,1077,1,427,,0,117
Previous RL,1obstacles_2,sokoban-6-1_1obstacles_2,3.2590041160583496,OK,6395,128,7160,128,2856,1,485,1,235,,0,125
DQN Agent 400e,1obstacles_3,sokoban-6-1_1obstacles_3,1.0045735836029053,OK,1682,114,1861,114,627,1,150,1,58,,0,119
DQN Agent 1000e,1obstacles_3,sokoban-6-1_1obstacles_3,4.017553091049194,OK,7161,128,7997,130,3586,1,671,1,283,,0,142
Previous RL,1obstacles_3,sokoban-6-1_1obstacles_3,1.4237585067749023,OK,2997,94,3310,94,1053,1,197,1,101,,0,123
DQN Agent 400e,1obstacles_4,sokoban-6-1_1obstacles_4,2.155289888381958,OK,6089,304,6743,305,1736,1,539,1,224,,0,126
DQN Agent 1000e,1obstacles_4,sokoban-6-1_1obstacles_4,4.294819355010986,OK,8592,286,9684,293,3874,1,898,1,365,,0,119
Previous RL,1obstacles_4,sokoban-6-1_1obstacles_4,11.414124488830566,OK,11974,330,13519,335,10988,1,1006,1,463,,0,120
DQN Agent 400e,1obstacles_5,sokoban-6-1_1obstacles_5,1.079892635345459,OK,2119,158,2330,160,706,1,176,1,68,,0,125
DQN Agent 1000e,1obstacles_5,sokoban-6-1_1obstacles_5,1.3793203830718994,OK,3008,232,3307,234,982,1,247,1,115,,0,120
Previous RL,1obstacles_5,sokoban-6-1_1obstacles_5,1.4515349864959717,OK,3122,230,3449,238,1073,1,210,1,108,,0,124
DQN Agent 400e,1obstacles_6,sokoban-6-1_1obstacles_6,1.9574484825134277,OK,4925,138,5426,138,1560,1,425,1,170,,0,111
