Model,Scenario,instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
DQN Agent 400e,0obstacles_1,sokoban-4-1_0obstacles_1,1.2820076942443848,OK,1977,156,2197,158,878,1,214,1,132,,0,77
DQN Agent 1000e,0obstacles_1,sokoban-4-1_0obstacles_1,0.8652350902557373,OK,1915,156,2118,156,578,1,201,1,126,,0,68
Previous RL,0obstacles_1,sokoban-4-1_0obstacles_1,1.0355827808380127,OK,2113,92,2303,92,732,1,124,1,124,,0,71
DQN Agent 400e,0obstacles_10,sokoban-4-1_0obstacles_10,0.6444125175476074,OK,316,146,344,148,317,1,28,1,19,,0,68
DQN Agent 1000e,0obstacles_10,sokoban-4-1_0obstacles_10,0.7742915153503418,OK,1098,112,1219,112,490,1,123,1,71,,0,65
Previous RL,0obstacles_10,sokoban-4-1_0obstacles_10,0.7670736312866211,OK,996,94,1065,95,482,1,44,1,58,,0,67
DQN Agent 400e,0obstacles_2,sokoban-4-1_0obstacles_2,1.125953197479248,OK,2303,170,2554,173,841,1,259,1,152,,0,67
DQN Agent 1000e,0obstacles_2,sokoban-4-1_0obstacles_2,0.7688899040222168,OK,1073,146,1181,147,489,1,105,1,71,,0,66
Previous RL,0obstacles_2,sokoban-4-1_0obstacles_2,1.2284810543060303,OK,2599,126,2871,127,925,1,180,1,167,,0,72
DQN Agent 400e,0obstacles_3,sokoban-4-1_0obstacles_3,0.8509445190429688,OK,1566,222,1733,225,552,1,162,1,104,,0,73
DQN Agent 1000e,0obstacles_3,sokoban-4-1_0obstacles_3,0.7983639240264893,OK,1603,116,1751,116,513,1,136,1,101,,0,78
Previous RL,0obstacles_3,sokoban-4-1_0obstacles_3,1.030264139175415,OK,2408,96,2670,96,751,1,170,1,157,,0,71
DQN Agent 400e,0obstacles_4,sokoban-4-1_0obstacles_4,1.1211180686950684,OK,2244,192,2508,196,818,1,255,1,156,,0,74
DQN Agent 1000e,0obstacles_4,sokoban-4-1_0obstacles_4,0.9206664562225342,OK,1182,144,1306,144,609,1,125,1,74,,0,70
Previous RL,0obstacles_4,sokoban-4-1_0obstacles_4,0.8773009777069092,OK,1676,84,1840,84,587,1,107,1,106,,0,73
DQN Agent 400e,0obstacles_5,sokoban-4-1_0obstacles_5,1.048511028289795,OK,2271,190,2535,193,753,1,254,1,157,,0,72
DQN Agent 1000e,0obstacles_5,sokoban-4-1_0obstacles_5,0.6286365985870361,OK,65,40,67,40,350,1,4,1,4,,0,75
Previous RL,0obstacles_5,sokoban-4-1_0obstacles_5,0.7607173919677734,OK,174,40,187,40,486,1,10,1,11,,0,70
DQN Agent 400e,0obstacles_6,sokoban-4-1_0obstacles_6,0.7532203197479248,OK,866,150,948,153,467,1,86,1,53,,0,71
DQN Agent 1000e,0obstacles_6,sokoban-4-1_0obstacles_6,0.696690559387207,OK,703,146,767,147,398,1,61,1,43,,0,72
Previous RL,0obstacles_6,sokoban-4-1_0obstacles_6,0.8977265357971191,OK,1429,118,1558,120,591,1,87,1,92,,0,70
DQN Agent 400e,0obstacles_7,sokoban-4-1_0obstacles_7,1.3095321655273438,OK,3413,144,3803,144,1015,1,394,1,239,,0,69
DQN Agent 1000e,0obstacles_7,sokoban-4-1_0obstacles_7,0.5554993152618408,OK,115,40,124,40,287,1,10,1,7,,0,69
Previous RL,0obstacles_7,sokoban-4-1_0obstacles_7,0.6204218864440918,OK,171,52,185,53,344,1,10,1,11,,0,74
DQN Agent 400e,0obstacles_8,sokoban-4-1_0obstacles_8,1.016901969909668,OK,1566,146,1735,147,739,1,166,1,105,,0,71
DQN Agent 1000e,0obstacles_8,sokoban-4-1_0obstacles_8,0.8046462535858154,OK,1540,94,1679,94,521,1,125,1,94,,0,66
Previous RL,0obstacles_8,sokoban-4-1_0obstacles_8,0.8639624118804932,OK,1901,96,2078,97,601,1,115,1,120,,0,68
DQN Agent 400e,0obstacles_9,sokoban-4-1_0obstacles_9,1.1307344436645508,OK,2505,106,2784,106,849,1,273,1,170,,0,71
DQN Agent 1000e,0obstacles_9,sokoban-4-1_0obstacles_9,0.9664299488067627,OK,2926,86,3245,86,670,1,313,1,197,,0,68
Previous RL,0obstacles_9,sokoban-4-1_0obstacles_9,1.0550227165222168,OK,2686,86,2972,86,764,1,188,1,180,,0,71
DQN Agent 400e,1obstacles_1,sokoban-4-1_1obstacles_1,0.7095494270324707,OK,779,74,859,76,431,1,85,1,50,,0,66
DQN Agent 1000e,1obstacles_1,sokoban-4-1_1obstacles_1,1.1222178936004639,OK,2837,190,3148,193,844,1,309,1,197,,0,71
Previous RL,1obstacles_1,sokoban-4-1_1obstacles_1,0.6712596416473389,OK,216,74,236,76,401,1,14,1,13,,0,68
DQN Agent 400e,1obstacles_10,sokoban-4-1_1obstacles_10,0.8452544212341309,OK,1275,158,1413,161,552,1,139,1,84,,0,67
DQN Agent 1000e,1obstacles_10,sokoban-4-1_1obstacles_10,0.8215796947479248,OK,1210,132,1322,132,538,1,104,1,80,,0,65
