episode,starting_total_steps,starting_epsilon,is_win,avg_loss,reward,win,steps,composition_size
0,0,1.0,False,0.7405659048349266,-1150.9799999999975,False,298,"(0, 0)"
1,0,0.9988851351351351,False,5.500321993891824,-607.9799999999974,False,298,"(0, 0)"
2,0,0.9977702702702703,False,4.2370050529505585,-386.97999999999854,False,298,"(0, 0)"
3,0,0.9966554054054054,False,4.363377709516743,-768.979999999998,False,298,"(0, 0)"
4,0,0.9955405405405405,False,3.8051650330124285,15.019999999999918,False,298,"(0, 0)"
5,0,0.9944256756756756,True,3.537158401949065,88.8800000000007,True,112,"(0, 0)"
6,0,0.9933108108108109,True,3.4732857445290066,87.88000000000055,True,212,"(0, 0)"
7,0,0.992195945945946,False,3.3050756786993687,-346.97999999999763,False,298,"(0, 0)"
8,0,0.9910810810810811,False,3.2770367000727045,-527.9799999999973,False,298,"(0, 0)"
9,0,0.9899662162162162,False,3.269101973348016,-929.9799999999973,False,298,"(0, 0)"
10,0,0.9888513513513514,True,2.9614571479373963,87.68000000000038,True,232,"(0, 0)"
11,0,0.9877364864864865,False,2.8743252263173162,-808.9799999999985,False,298,"(0, 0)"
12,0,0.9866216216216216,False,2.9967333688931976,-1733.9799999999973,False,298,"(0, 0)"
13,0,0.9855067567567568,False,3.0289606967028355,-346.97999999999786,False,298,"(0, 0)"
14,0,0.9843918918918919,False,3.0992395815333262,-1351.9799999999975,False,298,"(0, 0)"
15,0,0.983277027027027,False,3.2639497604546133,-1190.9799999999973,False,298,"(0, 0)"
16,0,0.9821621621621621,False,3.2866438712749706,-989.9799999999984,False,298,"(0, 0)"
17,0,0.9810472972972973,False,3.16940868780917,-165.9799999999989,False,298,"(0, 0)"
18,0,0.9799324324324324,False,3.2307218093200016,-346.97999999999956,False,298,"(0, 0)"
19,0,0.9788175675675675,False,3.2062486251628637,-547.9799999999975,False,298,"(0, 0)"
20,0,0.9777027027027027,False,3.211646010261654,-547.9799999999987,False,298,"(0, 0)"
21,0,0.9765878378378379,False,3.069700028522303,-547.9799999999973,False,298,"(0, 0)"
22,0,0.975472972972973,False,3.4353180261666343,-1210.9799999999973,False,298,"(0, 0)"
23,0,0.9743581081081081,False,3.6146485923520673,-1170.9799999999975,False,298,"(0, 0)"
24,0,0.9732432432432433,False,3.4058564751340237,-185.97999999999743,False,298,"(0, 0)"
25,0,0.9721283783783784,True,3.493830266865817,-512.749999999998,True,275,"(0, 0)"
26,0,0.9710135135135135,False,3.3969982501444402,-386.979999999998,False,298,"(0, 0)"
27,0,0.9698986486486486,False,3.320055340960522,-386.9799999999991,False,298,"(0, 0)"
28,0,0.9687837837837838,False,3.2960834167147643,-567.9799999999976,False,298,"(0, 0)"
29,0,0.9676689189189189,True,3.4089559106002176,-111.32999999999902,True,133,"(0, 0)"
30,0,0.966554054054054,False,3.2738928947872763,55.02000000000007,False,298,"(0, 0)"
31,0,0.9654391891891891,False,3.370854039720241,-989.9799999999976,False,298,"(0, 0)"
32,0,0.9643243243243244,True,3.4201177044581343,-110.92999999999921,True,93,"(0, 0)"
33,0,0.9632094594594595,True,3.2715726320942244,-311.7399999999984,True,174,"(0, 0)"
34,0,0.9620945945945946,False,3.4359446984009456,-567.9799999999976,False,298,"(0, 0)"
35,0,0.9609797297297298,False,3.4330503432542687,-788.9799999999987,False,298,"(0, 0)"
36,0,0.9598648648648649,False,3.653885765813741,-1210.9799999999975,False,298,"(0, 0)"
37,0,0.95875,False,3.624746429040128,-386.97999999999735,False,298,"(0, 0)"
38,0,0.9576351351351351,False,3.7735078047785984,-1431.9799999999975,False,298,"(0, 0)"
