instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
sokoban-4-1_0obstacles_1,1.2820076942443848,OK,1977,156,2197,158,878,1,214,1,132,,0,77
sokoban-4-1_0obstacles_10,0.6444125175476074,OK,316,146,344,148,317,1,28,1,19,,0,68
sokoban-4-1_0obstacles_2,1.125953197479248,OK,2303,170,2554,173,841,1,259,1,152,,0,67
sokoban-4-1_0obstacles_3,0.8509445190429688,OK,1566,222,1733,225,552,1,162,1,104,,0,73
sokoban-4-1_0obstacles_4,1.1211180686950684,OK,2244,192,2508,196,818,1,255,1,156,,0,74
sokoban-4-1_0obstacles_5,1.048511028289795,OK,2271,190,2535,193,753,1,254,1,157,,0,72
sokoban-4-1_0obstacles_6,0.7532203197479248,OK,866,150,948,153,467,1,86,1,53,,0,71
sokoban-4-1_0obstacles_7,1.3095321655273438,OK,3413,144,3803,144,1015,1,394,1,239,,0,69
sokoban-4-1_0obstacles_8,1.016901969909668,OK,1566,146,1735,147,739,1,166,1,105,,0,71
sokoban-4-1_0obstacles_9,1.1307344436645508,OK,2505,106,2784,106,849,1,273,1,170,,0,71
sokoban-4-1_1obstacles_1,0.7095494270324707,OK,779,74,859,76,431,1,85,1,50,,0,66
sokoban-4-1_1obstacles_10,0.8452544212341309,OK,1275,158,1413,161,552,1,139,1,84,,0,67
sokoban-4-1_1obstacles_2,1.3152647018432615,OK,3413,166,3803,166,1026,1,396,1,239,,0,67
sokoban-4-1_1obstacles_3,1.018489122390747,OK,2270,40,2534,40,735,1,255,1,157,,0,66
sokoban-4-1_1obstacles_4,1.3214223384857178,OK,3210,134,3584,134,1030,1,378,1,227,,0,72
sokoban-4-1_1obstacles_5,1.090641975402832,OK,2244,192,2508,196,801,1,255,1,156,,0,71
sokoban-4-1_1obstacles_6,1.1181600093841553,OK,2271,62,2536,62,826,1,257,1,158,,0,69
sokoban-4-1_1obstacles_7,0.6690635681152344,OK,745,212,817,216,381,1,73,1,48,,0,70
sokoban-4-1_1obstacles_8,1.321155071258545,OK,3210,262,3584,265,1031,1,375,1,227,,0,67
sokoban-4-1_1obstacles_9,0.7373552322387695,OK,809,244,884,248,447,1,76,1,50,,0,71
sokoban-4-1_2obstacles_1,0.8028018474578857,OK,1425,156,1578,158,507,1,173,1,147,,0,68
sokoban-4-1_2obstacles_10,0.7871100902557373,OK,716,106,790,108,492,1,75,1,51,,0,79
sokoban-4-1_2obstacles_2,0.8460967540740967,OK,1718,0,1921,0,591,0,235,0,183,,0,70
sokoban-4-1_2obstacles_3,0.8667633533477783,OK,1694,100,1896,100,563,1,209,1,162,,0,66
sokoban-4-1_2obstacles_4,0.9219834804534912,OK,2139,112,2385,112,626,1,255,1,185,,0,69
sokoban-4-1_2obstacles_5,0.7912266254425049,OK,682,62,755,62,495,1,75,1,50,,0,71
sokoban-4-1_2obstacles_6,0.8016748428344727,OK,1268,0,1428,0,546,0,167,0,109,,0,71
sokoban-4-1_2obstacles_7,0.8494782447814941,OK,1161,82,1285,82,553,1,146,1,115,,0,73
sokoban-4-1_2obstacles_8,0.7907087802886963,OK,590,124,645,124,495,1,64,1,46,,0,68
sokoban-4-1_2obstacles_9,0.6928443908691406,OK,774,82,850,82,406,1,91,1,76,,0,71
sokoban-4-1_3obstacles_1,0.6457741260528564,OK,595,122,659,122,356,1,81,1,57,,0,72
sokoban-4-1_3obstacles_10,0.6884615421295166,OK,586,50,651,50,386,1,68,1,50,,0,72
sokoban-4-1_3obstacles_2,0.7661373615264893,OK,1596,0,1774,0,500,0,229,0,193,,0,69
sokoban-4-1_3obstacles_3,0.609961748123169,OK,557,0,621,0,346,0,82,0,70,,0,68
sokoban-4-1_3obstacles_4,0.6775257587432861,OK,872,72,972,72,387,1,115,1,86,,0,74
sokoban-4-1_3obstacles_5,0.7174985408782959,OK,875,42,973,42,448,1,121,1,91,,0,67
sokoban-4-1_3obstacles_6,0.6577911376953125,OK,569,122,634,122,373,1,68,1,65,,0,69
sokoban-4-1_3obstacles_7,0.8161137104034424,OK,1418,42,1592,42,512,1,173,1,134,,0,67
sokoban-4-1_3obstacles_8,0.6396102905273438,OK,203,0,227,0,393,0,29,0,22,,0,68
sokoban-4-1_3obstacles_9,0.7909049987792969,OK,1124,62,1249,62,505,1,154,1,119,,0,74
sokoban-4-1_4obstacles_1,0.5471687316894531,OK,18,0,19,0,305,0,2,0,4,,0,70
sokoban-4-1_4obstacles_10,0.5999081134796143,OK,459,0,513,0,340,0,61,0,54,,0,73
sokoban-4-1_4obstacles_2,0.7535855770111084,OK,809,144,904,145,449,1,112,1,76,,0,69
sokoban-4-1_4obstacles_3,0.5618624687194824,OK,188,0,207,0,293,0,26,0,26,,0,68
sokoban-4-1_4obstacles_4,0.8038253784179688,OK,1086,0,1217,0,548,0,153,0,127,,0,76
sokoban-4-1_4obstacles_5,0.6575801372528076,OK,412,0,460,0,388,0,63,0,46,,0,75
sokoban-4-1_4obstacles_6,0.5362198352813721,OK,188,0,210,0,279,0,28,0,26,,0,75
sokoban-4-1_4obstacles_7,0.6955089569091797,OK,910,0,1017,0,419,0,140,0,107,,0,71
sokoban-4-1_4obstacles_8,0.6237573623657227,OK,228,0,257,0,336,0,38,0,26,,0,65
sokoban-4-1_4obstacles_9,0.5173017978668213,OK,18,0,19,0,262,0,2,0,4,,0,78
