instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
sokoban-4-1_0obstacles_1,1.0355827808380127,OK,2113,92,2303,92,732,1,124,1,124,,0,71
sokoban-4-1_0obstacles_10,0.7670736312866211,OK,996,94,1065,95,482,1,44,1,58,,0,67
sokoban-4-1_0obstacles_2,1.2284810543060305,OK,2599,126,2871,127,925,1,180,1,167,,0,72
sokoban-4-1_0obstacles_3,1.030264139175415,OK,2408,96,2670,96,751,1,170,1,157,,0,71
sokoban-4-1_0obstacles_4,0.8773009777069092,OK,1676,84,1840,84,587,1,107,1,106,,0,73
sokoban-4-1_0obstacles_5,0.7607173919677734,OK,174,40,187,40,486,1,10,1,11,,0,70
sokoban-4-1_0obstacles_6,0.8977265357971191,OK,1429,118,1558,120,591,1,87,1,92,,0,70
sokoban-4-1_0obstacles_7,0.6204218864440918,OK,171,52,185,53,344,1,10,1,11,,0,74
sokoban-4-1_0obstacles_8,0.8639624118804932,OK,1901,96,2078,97,601,1,115,1,120,,0,68
sokoban-4-1_0obstacles_9,1.0550227165222168,OK,2686,86,2972,86,764,1,188,1,180,,0,71
sokoban-4-1_1obstacles_1,0.6712596416473389,OK,216,74,236,76,401,1,14,1,13,,0,68
sokoban-4-1_1obstacles_10,1.0470178127288818,OK,2067,116,2246,118,762,1,115,1,124,,0,71
sokoban-4-1_1obstacles_2,0.608015775680542,OK,321,42,336,42,350,1,8,1,19,,0,67
sokoban-4-1_1obstacles_3,0.6095247268676758,OK,172,40,186,40,332,1,10,1,11,,0,69
sokoban-4-1_1obstacles_4,0.9475312232971193,OK,1879,74,2047,74,620,1,107,1,120,,0,64
sokoban-4-1_1obstacles_5,0.8977184295654297,OK,1676,84,1840,84,628,1,107,1,106,,0,72
sokoban-4-1_1obstacles_6,0.8823232650756836,OK,1095,62,1170,62,608,1,50,1,57,,0,69
sokoban-4-1_1obstacles_7,0.8698165416717529,OK,1677,106,1841,107,607,1,107,1,106,,0,67
sokoban-4-1_1obstacles_8,0.7082362174987793,OK,361,52,388,52,424,1,19,1,20,,0,69
sokoban-4-1_1obstacles_9,1.1191744804382324,OK,2407,96,2669,96,827,1,170,1,157,,0,71
sokoban-4-1_2obstacles_1,0.7668962478637695,OK,969,134,1060,135,496,1,79,1,89,,0,68
sokoban-4-1_2obstacles_10,0.8882217407226562,OK,840,126,924,128,598,1,67,1,53,,0,68
sokoban-4-1_2obstacles_2,0.9228925704956056,OK,1718,0,1921,0,640,0,181,0,174,,0,71
sokoban-4-1_2obstacles_3,0.8159551620483398,OK,1119,134,1229,136,537,1,91,1,85,,0,68
sokoban-4-1_2obstacles_4,0.7895441055297852,OK,912,94,983,95,503,1,58,1,62,,0,72
sokoban-4-1_2obstacles_5,0.7059621810913086,OK,866,62,929,62,417,1,47,1,50,,0,76
sokoban-4-1_2obstacles_6,0.8976669311523438,OK,1268,0,1428,0,638,0,138,0,105,,0,67
sokoban-4-1_2obstacles_7,0.7769961357116699,OK,452,82,497,82,444,1,38,1,41,,0,70
sokoban-4-1_2obstacles_8,0.9636929035186768,OK,1835,104,2034,104,673,1,167,1,142,,0,71
sokoban-4-1_2obstacles_9,0.7520761489868164,OK,403,82,445,82,481,1,36,1,36,,0,68
sokoban-4-1_3obstacles_1,0.7784450054168701,OK,756,122,844,122,505,1,81,1,78,,0,67
sokoban-4-1_3obstacles_10,0.6522126197814941,OK,378,50,402,50,372,1,24,1,22,,0,72
sokoban-4-1_3obstacles_2,1.0578064918518066,OK,1596,0,1774,0,782,0,167,0,189,,0,67
sokoban-4-1_3obstacles_3,0.6579625606536865,OK,557,0,621,0,410,0,69,0,66,,0,71
sokoban-4-1_3obstacles_4,0.6689043045043945,OK,388,72,425,72,370,1,35,1,38,,0,71
sokoban-4-1_3obstacles_5,0.6222066879272461,OK,213,42,230,42,364,1,16,1,19,,0,66
sokoban-4-1_3obstacles_6,0.746009349822998,OK,507,122,566,122,478,1,57,1,55,,0,68
sokoban-4-1_3obstacles_7,0.6274445056915283,OK,306,42,324,42,355,1,14,1,17,,0,71
sokoban-4-1_3obstacles_8,0.6079232692718506,OK,203,0,227,0,368,0,26,0,21,,0,73
sokoban-4-1_3obstacles_9,0.8206822872161865,OK,498,84,539,85,525,1,39,1,41,,0,70
sokoban-4-1_4obstacles_1,0.5305507183074951,OK,18,0,19,0,261,0,2,0,4,,0,76
sokoban-4-1_4obstacles_10,0.6797115802764893,OK,459,0,513,0,412,0,56,0,49,,0,69
sokoban-4-1_4obstacles_2,1.001450777053833,OK,1524,144,1711,145,702,1,178,1,144,,0,66
sokoban-4-1_4obstacles_3,0.6464688777923584,OK,188,0,207,0,401,0,22,0,26,,0,69
sokoban-4-1_4obstacles_4,0.8465447425842285,OK,1086,0,1217,0,590,0,133,0,122,,0,68
sokoban-4-1_4obstacles_5,0.7467868328094482,OK,412,0,460,0,488,0,51,0,43,,0,75
sokoban-4-1_4obstacles_6,0.6474411487579346,OK,188,0,210,0,408,0,25,0,24,,0,72
sokoban-4-1_4obstacles_7,0.7407395839691162,OK,910,0,1017,0,486,0,116,0,103,,0,71
sokoban-4-1_4obstacles_8,0.6046864986419678,OK,228,0,257,0,357,0,34,0,24,,0,73
sokoban-4-1_4obstacles_9,0.5455718040466309,OK,18,0,19,0,267,0,2,0,4,,0,65
