instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
sokoban-5-1_0obstacles_1,1.1806590557098389,OK,2167,94,2371,94,834,1,132,1,104,,0,89
sokoban-5-1_0obstacles_10,0.9460759162902832,OK,1313,140,1429,144,595,1,75,1,57,,0,96
sokoban-5-1_0obstacles_2,1.2740890979766846,OK,2720,118,3022,120,938,1,196,1,120,,0,92
sokoban-5-1_0obstacles_3,0.7162697315216064,OK,337,42,355,42,391,1,12,1,17,,0,84
sokoban-5-1_0obstacles_4,1.4541358947753906,OK,3567,116,3894,118,1121,1,204,1,147,,0,89
sokoban-5-1_0obstacles_5,2.876317977905273,OK,6087,256,6802,259,2511,1,475,1,311,,0,94
sokoban-5-1_0obstacles_6,0.931389093399048,OK,1140,248,1244,256,604,1,70,1,53,,0,89
sokoban-5-1_0obstacles_7,2.138537168502808,OK,5035,152,5627,154,1793,1,386,1,248,,0,92
sokoban-5-1_0obstacles_8,0.8037474155426025,OK,650,84,690,86,487,1,26,1,23,,0,91
sokoban-5-1_0obstacles_9,0.9680750370025636,OK,1423,72,1538,72,639,1,75,1,54,,0,97
sokoban-5-1_1obstacles_1,0.7855148315429688,OK,687,138,748,142,465,1,41,1,27,,0,99
sokoban-5-1_1obstacles_10,1.652632713317871,OK,4168,86,4620,86,1311,1,286,1,190,,0,87
sokoban-5-1_1obstacles_2,1.7537591457366943,OK,4321,236,4745,242,1373,1,273,1,208,,0,95
sokoban-5-1_1obstacles_3,1.144453763961792,OK,2595,96,2834,97,808,1,151,1,109,,0,90
sokoban-5-1_1obstacles_4,0.6076929569244385,OK,170,40,180,40,307,1,7,1,9,,0,85
sokoban-5-1_1obstacles_5,0.9114515781402588,OK,504,96,554,98,591,1,34,1,22,,0,92
sokoban-5-1_1obstacles_6,2.2318882942199707,OK,5020,194,5608,195,1809,1,381,1,248,,0,96
sokoban-5-1_1obstacles_7,1.800424575805664,OK,4271,96,4775,96,1459,1,322,1,202,,0,88
sokoban-5-1_1obstacles_8,0.8802893161773682,OK,641,60,680,60,567,1,25,1,23,,0,92
sokoban-5-1_1obstacles_9,0.7207920551300049,OK,249,50,267,50,414,1,12,1,13,,0,92
sokoban-5-1_2obstacles_1,0.6651003360748291,OK,107,30,110,30,359,1,2,1,7,,0,86
sokoban-5-1_2obstacles_10,1.2867047786712646,OK,2317,126,2546,127,894,1,178,1,153,,0,91
sokoban-5-1_2obstacles_2,1.12023663520813,OK,2540,94,2794,94,787,1,183,1,121,,0,93
sokoban-5-1_2obstacles_3,0.8046524524688721,OK,623,128,675,132,485,1,43,1,25,,0,90
sokoban-5-1_2obstacles_4,0.8820843696594238,OK,1248,106,1348,108,573,1,75,1,58,,0,90
sokoban-5-1_2obstacles_5,0.7925989627838135,OK,287,84,314,86,478,1,21,1,16,,0,85
sokoban-5-1_2obstacles_6,1.1924395561218262,OK,2079,150,2322,153,807,1,190,1,139,,0,101
sokoban-5-1_2obstacles_7,1.0894193649291992,OK,2065,104,2272,104,741,1,149,1,107,,0,90
sokoban-5-1_2obstacles_8,0.6734070777893066,OK,168,40,178,40,364,1,7,1,9,,0,88
sokoban-5-1_2obstacles_9,1.030602216720581,OK,2124,104,2348,104,714,1,156,1,105,,0,84
sokoban-5-1_3obstacles_1,3.5239038467407227,OK,6936,0,7852,0,3178,0,763,0,607,,0,101
sokoban-5-1_3obstacles_10,0.8492116928100586,OK,780,114,845,115,534,1,57,1,54,,0,85
sokoban-5-1_3obstacles_2,0.8435642719268799,OK,706,94,781,94,525,1,67,1,62,,0,87
sokoban-5-1_3obstacles_3,3.768222570419312,OK,7173,0,8144,0,3427,0,798,0,583,,0,95
sokoban-5-1_3obstacles_4,2.771211624145508,OK,5039,378,5693,387,2284,1,532,1,329,,0,91
sokoban-5-1_3obstacles_5,1.1647207736968994,OK,1966,134,2156,135,825,1,149,1,132,,0,97
sokoban-5-1_3obstacles_6,0.8005082607269287,OK,437,140,487,145,478,1,42,1,24,,0,92
sokoban-5-1_3obstacles_7,1.370497226715088,OK,2718,0,3092,0,1064,0,312,0,194,,0,87
sokoban-5-1_3obstacles_8,0.6579315662384033,OK,282,72,309,73,337,1,22,1,17,,0,93
sokoban-5-1_3obstacles_9,1.058495044708252,OK,2001,94,2223,94,738,1,177,1,120,,0,89
sokoban-5-1_4obstacles_1,1.258117914199829,OK,2941,178,3249,180,910,1,241,1,168,,0,93
sokoban-5-1_4obstacles_10,1.3650453090667725,OK,2796,106,3105,106,1038,1,272,1,205,,0,87
sokoban-5-1_4obstacles_2,1.4167592525482178,OK,2932,0,3328,0,1120,0,343,0,257,,0,84
sokoban-5-1_4obstacles_3,1.863374710083008,OK,3838,0,4340,0,1550,0,447,0,341,,0,92
sokoban-5-1_4obstacles_4,1.118917465209961,OK,1687,148,1895,148,784,1,184,1,151,,0,93
sokoban-5-1_4obstacles_5,2.3870749473571777,OK,5158,0,5840,0,2045,0,601,0,481,,0,92
sokoban-5-1_4obstacles_6,1.2633848190307615,OK,2366,116,2647,116,916,1,229,1,146,,0,90
sokoban-5-1_4obstacles_7,0.9763152599334716,OK,1162,0,1318,0,667,0,137,0,98,,0,93
sokoban-5-1_4obstacles_8,2.0057530403137207,OK,4586,0,5179,0,1684,0,544,0,437,,0,85
sokoban-5-1_4obstacles_9,1.2566540241241455,OK,2252,0,2555,0,950,0,263,0,184,,0,99
