instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
sokoban-5-1_0obstacles_1,2.46239709854126,OK,5853,288,6533,291,2023,1,583,1,295,,0,116
sokoban-5-1_0obstacles_10,3.1028249263763428,OK,5980,192,6684,195,2663,1,601,1,298,,0,121
sokoban-5-1_0obstacles_2,2.72976303100586,OK,5497,138,6130,140,2278,1,538,1,273,,0,116
sokoban-5-1_0obstacles_3,2.431962251663208,OK,5697,42,6379,42,2025,1,588,1,289,,0,106
sokoban-5-1_0obstacles_4,2.0290298461914062,OK,4440,222,4969,225,1617,1,460,1,224,,0,114
sokoban-5-1_0obstacles_5,2.1959240436553955,OK,4827,274,5385,283,1785,1,494,1,240,,0,109
sokoban-5-1_0obstacles_6,1.0106422901153564,OK,1057,138,1172,141,559,1,96,1,51,,0,138
sokoban-5-1_0obstacles_7,2.0365641117095947,OK,5093,192,5678,194,1625,1,503,1,257,,0,112
sokoban-5-1_0obstacles_8,0.8441054821014404,OK,321,120,344,120,461,1,19,1,15,,0,110
sokoban-5-1_0obstacles_9,2.0368216037750244,OK,3885,136,4369,138,1627,1,422,1,197,,0,104
sokoban-5-1_1obstacles_1,0.803621768951416,OK,493,132,535,133,409,1,32,1,22,,0,114
sokoban-5-1_1obstacles_10,2.833789825439453,OK,6871,86,7694,86,2433,1,703,1,352,,0,98
sokoban-5-1_1obstacles_2,1.491302728652954,OK,2643,220,2941,223,1090,1,256,1,131,,0,112
sokoban-5-1_1obstacles_3,1.0078372955322266,OK,1064,128,1188,130,608,1,104,1,50,,0,111
sokoban-5-1_1obstacles_4,0.8195059299468994,OK,561,132,614,133,438,1,41,1,27,,0,99
sokoban-5-1_1obstacles_5,1.2105398178100586,OK,2158,108,2401,111,826,1,213,1,103,,0,112
sokoban-5-1_1obstacles_6,2.6994946002960205,OK,5237,138,5844,138,2296,1,515,1,265,,0,103
sokoban-5-1_1obstacles_7,1.4006562232971191,OK,2780,182,3065,185,1017,1,237,1,136,,0,115
sokoban-5-1_1obstacles_8,0.8027138710021973,OK,518,112,566,113,423,1,37,1,25,,0,107
sokoban-5-1_1obstacles_9,0.8087003231048584,OK,472,70,521,70,406,1,39,1,25,,0,120
sokoban-5-1_2obstacles_1,0.7582924365997314,OK,52,30,53,30,354,1,1,1,4,,0,103
sokoban-5-1_2obstacles_10,2.296980857849121,OK,3952,148,4439,150,1814,1,483,1,277,,0,112
sokoban-5-1_2obstacles_2,2.189216375350952,OK,4258,114,4777,114,1757,1,480,1,240,,0,103
sokoban-5-1_2obstacles_3,1.2021660804748535,OK,1451,188,1626,190,707,1,165,1,87,,0,111
sokoban-5-1_2obstacles_4,1.961684226989746,OK,4042,158,4513,159,1542,1,434,1,251,,0,121
sokoban-5-1_2obstacles_5,0.7121860980987549,OK,155,80,164,80,342,1,8,1,4,,0,102
sokoban-5-1_2obstacles_6,2.297243356704712,OK,4528,420,5074,429,1792,1,561,1,327,,0,113
sokoban-5-1_2obstacles_7,1.9607887268066408,OK,3978,356,4442,365,1506,1,442,1,228,,0,118
sokoban-5-1_2obstacles_8,1.65584397315979,OK,3200,40,3584,40,1254,1,373,1,209,,0,110
sokoban-5-1_2obstacles_9,2.5638558864593506,OK,4958,104,5569,104,2131,1,590,1,301,,0,107
sokoban-5-1_3obstacles_1,3.3818225860595703,OK,6936,0,7852,0,2994,0,948,0,610,,0,114
sokoban-5-1_3obstacles_10,1.3443593978881836,OK,2884,126,3245,128,946,1,388,1,236,,0,113
sokoban-5-1_3obstacles_2,1.6637580394744873,OK,3807,94,4269,94,1225,1,501,1,309,,0,114
sokoban-5-1_3obstacles_3,3.799308061599731,OK,7173,0,8144,0,3431,0,979,0,586,,0,108
sokoban-5-1_3obstacles_4,3.291172504425049,OK,5767,352,6486,358,2826,1,685,1,369,,0,112
sokoban-5-1_3obstacles_5,1.3312861919403076,OK,1490,146,1661,148,923,1,180,1,117,,0,117
sokoban-5-1_3obstacles_6,0.7657308578491211,OK,351,104,395,106,373,1,42,1,23,,0,112
sokoban-5-1_3obstacles_7,1.368147373199463,OK,2718,0,3092,0,984,0,380,0,194,,0,112
sokoban-5-1_3obstacles_8,2.4973604679107666,OK,4829,96,5432,99,2058,1,617,1,350,,0,109
sokoban-5-1_3obstacles_9,1.490916728973389,OK,3033,94,3390,94,1108,1,360,1,224,,0,104
sokoban-5-1_4obstacles_1,2.42526650428772,OK,4585,244,5201,249,1993,1,610,1,310,,0,122
sokoban-5-1_4obstacles_10,1.08949613571167,OK,1358,106,1501,106,645,1,159,1,102,,0,113
