episode,starting_total_steps,starting_epsilon,is_win,avg_loss,reward,win,steps,composition_size
0,0,1.0,False,0.0,-892.239999999999,False,124,"(0, 0)"
1,0,0.9988851351351351,False,0.0,-617.239999999999,False,124,"(0, 0)"
2,0,0.9977702702702703,False,8.386550118846278,-637.239999999999,False,124,"(0, 0)"
3,0,0.9966554054054054,True,8.526898860931396,-108.83999999999959,True,84,"(0, 0)"
4,0,0.9955405405405405,True,7.659307169359784,-276.8599999999994,True,86,"(0, 0)"
5,0,0.9944256756756756,True,6.371321990841725,143.39000000000004,True,61,"(0, 0)"
6,0,0.9933108108108109,False,5.467293139426939,-1212.239999999999,False,124,"(0, 0)"
7,0,0.992195945945946,True,5.131033868964659,-529.0899999999995,True,109,"(0, 0)"
8,0,0.9910810810810811,False,5.0984562923831325,-277.2399999999991,False,124,"(0, 0)"
9,0,0.9899662162162162,False,4.591096033973079,-637.2399999999992,False,124,"(0, 0)"
10,0,0.9888513513513514,True,4.795947505432425,-25.030000000000058,True,103,"(0, 0)"
11,0,0.9877364864864865,True,4.845234328792209,-108.83999999999982,True,84,"(0, 0)"
12,0,0.9866216216216216,False,4.80076781588216,-827.239999999999,False,124,"(0, 0)"
13,0,0.9855067567567568,False,5.020599272943312,-297.239999999999,False,124,"(0, 0)"
14,0,0.9843918918918919,False,5.1393286605035104,-977.239999999999,False,124,"(0, 0)"
15,0,0.983277027027027,True,5.161582757556249,-24.629999999999896,True,63,"(0, 0)"
16,0,0.9821621621621621,False,5.274155724433161,-212.23999999999955,False,124,"(0, 0)"
17,0,0.9810472972972973,True,4.9197566353272055,-361.0699999999993,True,107,"(0, 0)"
18,0,0.9799324324324324,True,4.596563554391628,59.18000000000008,True,82,"(0, 0)"
19,0,0.9788175675675675,False,4.424990794351024,-892.239999999999,False,124,"(0, 0)"
20,0,0.9777027027027027,False,4.208947325906446,-742.2399999999992,False,124,"(0, 0)"
21,0,0.9765878378378379,False,4.107473264778814,-1232.239999999999,False,124,"(0, 0)"
22,0,0.975472972972973,True,3.714925157456171,-193.04999999999916,True,105,"(0, 0)"
23,0,0.9743581081081081,True,3.5098335619630485,-360.8699999999993,True,87,"(0, 0)"
24,0,0.9732432432432433,True,3.402959966659546,-1452.7999999999995,True,80,"(0, 0)"
25,0,0.9721283783783784,True,3.592860347923191,-360.8699999999993,True,87,"(0, 0)"
