Model,Scenario,instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
DQN Agent 400e,0obstacles_1,sokoban-5-1_0obstacles_1,2.568204879760742,OK,6597,204,7412,205,2202,1,841,1,356,,0,86
DQN Agent 1000e,0obstacles_1,sokoban-5-1_0obstacles_1,3.2605576515197754,OK,7297,360,8231,362,2837,1,832,1,378,,0,93
Previous RL,0obstacles_1,sokoban-5-1_0obstacles_1,1.1934878826141357,OK,2167,94,2371,94,868,1,132,1,104,,0,89
DQN Agent 400e,0obstacles_10,sokoban-5-1_0obstacles_10,2.050753116607666,OK,6416,238,7150,242,1660,1,669,1,337,,0,94
DQN Agent 1000e,0obstacles_10,sokoban-5-1_0obstacles_10,2.941498041152954,OK,7582,288,8520,290,2581,1,818,1,383,,0,90
Previous RL,0obstacles_10,sokoban-5-1_0obstacles_10,1.0074679851531982,OK,1313,140,1429,144,671,1,75,1,57,,0,97
DQN Agent 400e,0obstacles_2,sokoban-5-1_0obstacles_2,3.72864031791687,OK,2966,106,3212,107,3374,1,205,1,189,,0,96
DQN Agent 1000e,0obstacles_2,sokoban-5-1_0obstacles_2,0.9586598873138428,OK,1451,118,1630,120,612,1,162,1,70,,0,89
Previous RL,0obstacles_2,sokoban-5-1_0obstacles_2,1.2924950122833252,OK,2720,118,3022,120,965,1,196,1,120,,0,88
DQN Agent 400e,0obstacles_3,sokoban-5-1_0obstacles_3,0.6840288639068604,OK,78,42,79,42,366,1,1,1,3,,0,90
DQN Agent 1000e,0obstacles_3,sokoban-5-1_0obstacles_3,1.2098534107208252,OK,3557,42,3969,42,881,1,361,1,173,,0,91
Previous RL,0obstacles_3,sokoban-5-1_0obstacles_3,0.7224164009094238,OK,337,42,355,42,402,1,12,1,17,,0,94
DQN Agent 400e,0obstacles_4,sokoban-5-1_0obstacles_4,0.6517860889434814,OK,573,92,604,92,320,1,25,1,38,,0,91
DQN Agent 1000e,0obstacles_4,sokoban-5-1_0obstacles_4,2.4692022800445557,OK,7374,140,8313,140,2103,1,856,1,380,,0,95
Previous RL,0obstacles_4,sokoban-5-1_0obstacles_4,1.606975793838501,OK,3567,116,3894,118,1262,1,204,1,147,,0,97
DQN Agent 400e,0obstacles_5,sokoban-5-1_0obstacles_5,2.792224884033203,OK,6597,216,7412,219,2301,1,841,1,356,,0,84
DQN Agent 1000e,0obstacles_5,sokoban-5-1_0obstacles_5,3.5879409313201904,OK,6961,276,7846,279,2742,1,790,1,369,,0,99
Previous RL,0obstacles_5,sokoban-5-1_0obstacles_5,2.8284552097320557,OK,6087,256,6802,259,2461,1,475,1,311,,0,89
DQN Agent 400e,0obstacles_6,sokoban-5-1_0obstacles_6,0.7110364437103271,OK,942,114,1003,115,360,1,53,1,64,,0,88
DQN Agent 1000e,0obstacles_6,sokoban-5-1_0obstacles_6,1.0724782943725586,OK,1663,138,1854,141,719,1,166,1,81,,0,97
Previous RL,0obstacles_6,sokoban-5-1_0obstacles_6,0.9478528499603271,OK,1140,248,1244,256,605,1,70,1,53,,0,96
DQN Agent 400e,0obstacles_7,sokoban-5-1_0obstacles_7,1.2638542652130127,OK,3013,118,3361,118,930,1,342,1,162,,0,93
DQN Agent 1000e,0obstacles_7,sokoban-5-1_0obstacles_7,1.5291144847869873,OK,3650,118,4105,118,1170,1,409,1,187,,0,91
Previous RL,0obstacles_7,sokoban-5-1_0obstacles_7,2.2142834663391113,OK,5035,152,5627,154,1868,1,386,1,248,,0,88
DQN Agent 400e,0obstacles_8,sokoban-5-1_0obstacles_8,3.569674491882324,OK,7802,148,8749,148,2717,1,871,1,396,,0,94
DQN Agent 1000e,0obstacles_8,sokoban-5-1_0obstacles_8,2.729234457015991,OK,7753,306,8739,308,2362,1,872,1,405,,0,93
Previous RL,0obstacles_8,sokoban-5-1_0obstacles_8,0.7576007843017578,OK,650,84,690,86,438,1,26,1,23,,0,93
DQN Agent 400e,0obstacles_9,sokoban-5-1_0obstacles_9,1.0079715251922607,OK,3099,72,3371,72,671,1,227,1,189,,0,90
DQN Agent 1000e,0obstacles_9,sokoban-5-1_0obstacles_9,2.408825159072876,OK,7338,116,8275,116,2062,1,856,1,379,,0,94
Previous RL,0obstacles_9,sokoban-5-1_0obstacles_9,0.9942975044250488,OK,1423,72,1538,72,673,1,75,1,54,,0,88
DQN Agent 400e,1obstacles_1,sokoban-5-1_1obstacles_1,1.8443825244903564,OK,5024,222,5628,226,1487,1,636,1,275,,0,92
DQN Agent 1000e,1obstacles_1,sokoban-5-1_1obstacles_1,3.6072707176208496,OK,5174,302,5837,309,3251,1,608,1,275,,0,91
Previous RL,1obstacles_1,sokoban-5-1_1obstacles_1,0.7890133857727051,OK,687,138,748,142,454,1,41,1,27,,0,93
DQN Agent 400e,1obstacles_10,sokoban-5-1_1obstacles_10,0.7646534442901611,OK,1646,86,1756,86,429,1,84,1,101,,0,95
DQN Agent 1000e,1obstacles_10,sokoban-5-1_1obstacles_10,1.5841169357299805,OK,4849,86,5417,86,1252,1,499,1,237,,0,86
Previous RL,1obstacles_10,sokoban-5-1_1obstacles_10,1.72141432762146,OK,4168,86,4620,86,1389,1,286,1,190,,0,91
DQN Agent 400e,1obstacles_2,sokoban-5-1_1obstacles_2,1.2442853450775146,OK,3996,262,4428,271,893,1,379,1,231,,0,94
DQN Agent 1000e,1obstacles_2,sokoban-5-1_1obstacles_2,0.7956047058105469,OK,798,160,889,163,462,1,82,1,37,,0,92
Previous RL,1obstacles_2,sokoban-5-1_1obstacles_2,1.7257742881774902,OK,4321,236,4745,242,1380,1,273,1,208,,0,89
