instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
sokoban-7-1_0obstacles_1,0.8276143074035645,OK,837,54,902,54,405,1,63,1,45,,0,152
sokoban-7-1_0obstacles_10,0.8670189380645752,OK,704,232,758,238,447,1,48,1,23,,0,142
sokoban-7-1_0obstacles_2,3.225829839706421,OK,5374,160,6006,165,2765,1,530,1,174,,0,166
sokoban-7-1_0obstacles_3,27.449435472488403,OK,16245,522,18331,527,26999,1,1892,1,602,,0,140
sokoban-7-1_0obstacles_4,27.97926163673401,OK,16073,354,18141,359,27504,1,1875,1,604,,0,153
sokoban-7-1_0obstacles_5,1.1048617362976074,OK,1330,130,1484,132,684,1,135,1,40,,0,155
sokoban-7-1_0obstacles_6,1.5026414394378662,OK,2898,298,3191,304,1081,1,239,1,75,,0,155
sokoban-7-1_0obstacles_7,16.957990884780884,OK,13758,108,15592,109,16496,1,1725,1,513,,0,150
sokoban-7-1_0obstacles_8,71.40609431266785,OK,13490,358,15199,361,70925,1,1567,1,494,,0,152
sokoban-7-1_0obstacles_9,0.9470813274383544,OK,1128,320,1203,326,490,1,69,1,31,,0,171
sokoban-7-1_1obstacles_1,3.1465330123901367,OK,5154,350,5762,355,2699,1,505,1,173,,0,138
sokoban-7-1_0obstacles_1,0.9510166645050048,OK,837,54,902,54,522,1,63,1,45,,0,140
sokoban-7-1_0obstacles_10,0.8615810871124268,OK,704,232,758,238,404,1,48,1,23,,0,171
sokoban-7-1_0obstacles_2,3.210325241088867,OK,5374,160,6006,165,2766,1,530,1,174,,0,148
sokoban-7-1_0obstacles_3,26.62687063217163,OK,16245,522,18331,527,26149,1,1892,1,602,,0,163
sokoban-7-1_0obstacles_4,27.7765429019928,OK,16073,354,18141,359,27278,1,1875,1,604,,0,157
sokoban-7-1_0obstacles_5,1.115344762802124,OK,1330,130,1484,132,633,1,135,1,40,,0,171
sokoban-7-1_0obstacles_6,1.94079852104187,OK,2898,298,3191,304,1082,1,239,1,75,,0,157
sokoban-7-1_0obstacles_7,17.222353219985962,OK,13758,108,15592,109,16760,1,1725,1,513,,0,157
sokoban-7-1_0obstacles_8,20.388657331466675,OK,13490,358,15199,361,19937,1,1567,1,494,,0,143
sokoban-7-1_0obstacles_9,1.0067689418792725,OK,1128,320,1203,326,568,1,69,1,31,,0,163
sokoban-7-1_1obstacles_1,3.251925706863404,OK,5154,350,5762,355,2730,1,505,1,173,,0,146
sokoban-7-1_1obstacles_10,17.919849157333374,OK,12508,370,14117,375,17411,1,1470,1,443,,0,156
sokoban-7-1_1obstacles_2,0.9984235763549804,OK,816,138,932,141,577,1,95,1,33,,0,147
sokoban-7-1_1obstacles_3,1.4075593948364258,OK,2615,232,2878,238,974,1,213,1,67,,0,147
sokoban-7-1_1obstacles_4,1.2298297882080078,OK,1687,310,1896,313,773,1,171,1,64,,0,163
sokoban-7-1_1obstacles_5,0.8174006938934326,OK,104,42,107,42,382,1,5,1,8,,0,160
sokoban-7-1_1obstacles_6,1.068439245223999,OK,1358,84,1474,85,640,1,115,1,70,,0,157
sokoban-7-1_1obstacles_7,3.732081174850464,OK,5721,342,6419,355,3286,1,596,1,192,,0,145
sokoban-7-1_1obstacles_8,20.491687059402462,OK,13102,280,14792,284,20039,1,1549,1,485,,0,145
sokoban-7-1_1obstacles_9,3.2484724521636963,OK,4763,306,5373,318,2774,1,523,1,203,,0,151
sokoban-7-1_2obstacles_1,14.827066659927368,OK,12524,498,14208,514,14342,1,1592,1,542,,0,172
sokoban-7-1_2obstacles_10,18.92584562301636,OK,12645,624,14264,632,18443,1,1476,1,597,,0,170
sokoban-7-1_2obstacles_2,16.050423860549927,OK,11826,422,13354,431,15586,1,1438,1,516,,0,158
sokoban-7-1_2obstacles_3,15.176167249679564,OK,12793,156,14508,157,14728,1,1630,1,587,,0,163
sokoban-7-1_2obstacles_4,2.338818073272705,OK,3907,584,4376,599,1891,1,405,1,192,,0,153
sokoban-7-1_2obstacles_5,0.845512866973877,OK,555,196,608,199,377,1,49,1,25,,0,160
sokoban-7-1_2obstacles_6,14.87598204612732,OK,12095,298,13632,306,14392,1,1491,1,518,,0,165
sokoban-7-1_2obstacles_7,15.360399961471558,OK,14950,322,16918,325,14900,1,1911,1,643,,0,149
sokoban-7-1_2obstacles_8,2.2958099842071533,OK,3597,328,4055,333,1862,1,408,1,172,,0,150
sokoban-7-1_2obstacles_9,12.640623092651367,OK,11623,110,13210,110,12149,1,1542,1,535,,0,161
sokoban-7-1_3obstacles_1,25.29397940635681,OK,17873,446,20141,456,24804,1,2184,1,853,,0,153
sokoban-7-1_3obstacles_10,11.660494327545166,OK,11640,380,13217,382,11166,1,1507,1,587,,0,155
sokoban-7-1_3obstacles_2,26.51204323768616,OK,17417,332,19794,337,26055,1,2363,1,944,,0,136
sokoban-7-1_3obstacles_3,1.921735048294068,OK,3623,462,4064,476,1469,1,384,1,205,,0,144
sokoban-7-1_3obstacles_4,1.8380343914031985,OK,3486,186,3853,189,1385,1,328,1,122,,0,155
sokoban-7-1_3obstacles_5,1.0183043479919434,OK,1340,116,1480,116,590,1,130,1,69,,0,157
sokoban-7-1_3obstacles_6,9.328405141830444,OK,8504,252,9618,259,8752,1,1017,1,368,,0,138
sokoban-7-1_3obstacles_7,16.030726194381714,OK,13473,220,15324,227,15553,1,1765,1,672,,0,164
sokoban-7-1_3obstacles_8,1.780942678451538,OK,3495,180,3859,181,1316,1,317,1,118,,0,147
sokoban-7-1_3obstacles_9,0.8813424110412598,OK,612,192,667,198,442,1,53,1,24,,0,161
sokoban-7-1_4obstacles_1,1.186246633529663,OK,1897,118,2085,120,745,1,175,1,101,,0,159
sokoban-7-1_4obstacles_10,19.23602199554444,OK,13456,340,15151,346,18778,1,1653,1,666,,0,141
sokoban-7-1_4obstacles_2,1.6389551162719729,OK,2895,390,3209,398,1176,1,277,1,119,,0,154
sokoban-7-1_4obstacles_3,6.909091949462891,OK,7156,0,8213,0,6290,0,1116,0,459,,0,170
sokoban-7-1_4obstacles_4,5.6431519985198975,OK,6844,398,7717,407,5187,1,765,1,303,,0,158
sokoban-7-1_4obstacles_5,21.19775152206421,OK,14503,354,16433,356,20723,1,1787,1,739,,0,156
sokoban-7-1_4obstacles_6,21.835112810134888,OK,16774,472,19027,482,21326,1,2219,1,986,,0,157
sokoban-7-1_4obstacles_7,2.971968173980713,OK,4936,392,5523,399,2500,1,533,1,216,,0,156
sokoban-7-1_4obstacles_8,5.8471152782440186,OK,9919,228,11190,229,5376,1,1248,1,564,,0,155
sokoban-7-1_4obstacles_9,19.84488797187805,OK,14316,184,16167,184,19357,1,1794,1,759,,0,154
