instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
sokoban-6-1_0obstacles_1,10.888176679611206,OK,11419,270,12898,273,10447,1,956,1,440,,0,117
sokoban-6-1_0obstacles_10,1.3810703754425049,OK,2997,94,3310,94,992,1,197,1,101,,0,119
sokoban-6-1_0obstacles_2,23.53566598892212,OK,15956,154,18159,154,23099,1,1472,1,663,,0,119
sokoban-6-1_0obstacles_3,1.3375129699707031,OK,2998,118,3303,120,948,1,193,1,101,,0,122
sokoban-6-1_0obstacles_4,1.5189189910888672,OK,3295,140,3634,143,1102,1,216,1,102,,0,121
sokoban-6-1_0obstacles_5,1.3244929313659668,OK,2518,230,2777,238,951,1,166,1,98,,0,122
sokoban-6-1_0obstacles_6,1.0637729167938232,OK,1781,128,1957,131,697,1,110,1,48,,0,123
sokoban-6-1_0obstacles_7,1.0533387660980225,OK,1571,248,1741,256,677,1,111,1,54,,0,108
sokoban-6-1_0obstacles_8,2.630178451538086,OK,5868,130,6522,132,2225,1,407,1,196,,0,119
sokoban-6-1_0obstacles_9,1.500605821609497,OK,3258,116,3578,117,1103,1,203,1,102,,0,121
sokoban-6-1_1obstacles_1,17.56217885017395,OK,13760,666,15587,678,17126,1,1207,1,561,,0,121
sokoban-6-1_1obstacles_10,0.8447303771972656,OK,536,198,608,207,464,1,50,1,21,,0,119
sokoban-6-1_1obstacles_2,3.2590041160583496,OK,6395,128,7160,128,2856,1,485,1,235,,0,125
sokoban-6-1_1obstacles_3,1.4237585067749023,OK,2997,94,3310,94,1053,1,197,1,101,,0,123
sokoban-6-1_1obstacles_4,11.414124488830566,OK,11974,330,13519,335,10988,1,1006,1,463,,0,120
sokoban-6-1_1obstacles_5,1.4515349864959717,OK,3122,230,3449,238,1073,1,210,1,108,,0,124
sokoban-6-1_1obstacles_6,1.4614293575286863,OK,2959,118,3247,120,1090,1,183,1,101,,0,112
sokoban-6-1_1obstacles_7,0.7670509815216064,OK,346,140,376,145,416,1,20,1,15,,0,112
sokoban-6-1_1obstacles_8,1.551811695098877,OK,3326,152,3682,156,1169,1,226,1,102,,0,113
sokoban-6-1_1obstacles_9,11.921735286712646,OK,12393,444,13989,458,11478,1,1040,1,476,,0,118
sokoban-6-1_2obstacles_1,2.4751124382019043,OK,4316,226,4831,229,2058,1,382,1,229,,0,118
sokoban-6-1_2obstacles_10,1.3424584865570068,OK,2327,198,2576,203,935,1,184,1,119,,0,123
sokoban-6-1_2obstacles_2,2.702148675918579,OK,6078,336,6797,343,2291,1,510,1,264,,0,121
sokoban-6-1_2obstacles_3,15.815008163452148,OK,14440,510,16431,520,15380,1,1475,1,842,,0,113
sokoban-6-1_2obstacles_4,3.847130298614502,OK,7094,342,7927,349,3422,1,587,1,300,,0,113
sokoban-6-1_2obstacles_5,1.3836562633514404,OK,2505,126,2787,127,1011,1,200,1,110,,0,112
sokoban-6-1_2obstacles_6,0.9215795993804932,OK,807,194,893,201,545,1,61,1,32,,0,123
sokoban-6-1_2obstacles_7,4.018987655639648,OK,7038,234,7925,237,3571,1,605,1,293,,0,121
sokoban-6-1_2obstacles_8,6.768388748168945,OK,8856,356,9966,363,6336,1,815,1,485,,0,122
sokoban-6-1_2obstacles_9,1.605294942855835,OK,3357,294,3661,305,1239,1,195,1,127,,0,111
sokoban-6-1_3obstacles_1,1.172006368637085,OK,1941,188,2132,191,776,1,138,1,90,,0,122
sokoban-6-1_3obstacles_10,1.2203333377838137,OK,1874,104,2074,104,837,1,152,1,101,,0,121
sokoban-6-1_3obstacles_2,0.9894030094146729,OK,1086,96,1200,97,620,1,80,1,36,,0,126
sokoban-6-1_3obstacles_3,1.90036940574646,OK,3944,258,4429,263,1513,1,373,1,219,,0,111
sokoban-6-1_3obstacles_4,13.46002745628357,OK,13055,458,14881,470,13017,1,1387,1,665,,0,117
sokoban-6-1_3obstacles_5,6.160644054412842,OK,8989,446,10168,456,5740,1,882,1,474,,0,118
sokoban-6-1_3obstacles_6,0.740067720413208,OK,398,86,441,88,377,1,32,1,21,,0,116
sokoban-6-1_3obstacles_7,1.300021409988403,OK,2398,148,2649,150,927,1,185,1,102,,0,119
sokoban-6-1_3obstacles_8,2.52193021774292,OK,5092,116,5672,116,2153,1,432,1,230,,0,118
sokoban-6-1_3obstacles_9,0.8490009307861328,OK,802,174,874,181,462,1,58,1,33,,0,114
sokoban-6-1_4obstacles_1,3.9414584636688232,OK,7754,412,8755,423,3536,1,817,1,523,,0,126
sokoban-6-1_4obstacles_10,1.2884280681610107,OK,2384,146,2669,148,894,1,231,1,142,,0,115
sokoban-6-1_4obstacles_2,1.1339781284332275,OK,1780,76,1940,76,787,1,108,1,61,,0,114
sokoban-6-1_4obstacles_3,3.572885513305664,OK,6238,198,7002,200,3174,1,610,1,356,,0,122
sokoban-6-1_4obstacles_4,7.1437859535217285,OK,9072,288,10293,290,6693,1,967,1,525,,0,118
sokoban-6-1_4obstacles_5,4.729564905166626,OK,8148,494,9165,505,4290,1,820,1,491,,0,118
sokoban-6-1_4obstacles_6,3.695042371749878,OK,6840,236,7718,239,3286,1,697,1,377,,0,120
sokoban-6-1_4obstacles_7,1.0453636646270752,OK,1277,148,1397,151,684,1,98,1,63,,0,118
sokoban-6-1_4obstacles_8,0.6699936389923096,OK,18,0,19,0,354,0,2,0,4,,0,108
sokoban-6-1_4obstacles_9,2.161344528198242,OK,4348,302,4865,309,1722,1,413,1,208,,0,130
