instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
sokoban-4-1_0obstacles_1,0.8618423938751221,OK,1892,156,2079,156,576,1,200,1,118,,0,66
sokoban-4-1_0obstacles_10,0.8187589645385742,OK,1098,112,1213,112,532,1,126,1,69,,0,75
sokoban-4-1_0obstacles_2,0.7912073135375977,OK,1050,158,1145,160,505,1,102,1,65,,0,68
sokoban-4-1_0obstacles_3,0.9949920177459716,OK,2714,156,2994,156,716,1,294,1,177,,0,66
sokoban-4-1_0obstacles_4,0.7709858417510986,OK,1233,144,1352,144,491,1,129,1,70,,0,68
sokoban-4-1_0obstacles_5,0.514026403427124,OK,81,40,84,40,247,1,7,1,6,,0,67
sokoban-4-1_0obstacles_6,0.7575311660766602,OK,691,158,751,160,472,1,63,1,39,,0,69
sokoban-4-1_0obstacles_7,0.5834496021270752,OK,118,40,127,40,310,1,10,1,6,,0,72
sokoban-4-1_0obstacles_8,0.9903316497802734,OK,2727,94,3011,94,711,1,299,1,177,,0,68
sokoban-4-1_0obstacles_9,0.8404219150543213,OK,1824,86,2006,86,567,1,194,1,119,,0,65
sokoban-4-1_1obstacles_1,3.5486247539520264,OK,2174,200,2395,203,3226,1,240,1,145,,0,71
sokoban-4-1_1obstacles_10,0.7911770343780518,OK,1304,132,1424,132,495,1,130,1,83,,0,75
sokoban-4-1_1obstacles_2,0.632328987121582,OK,250,42,263,42,358,1,15,1,11,,0,68
sokoban-4-1_1obstacles_3,0.6423912048339844,OK,391,40,427,40,360,1,40,1,24,,0,70
sokoban-4-1_1obstacles_4,1.300968885421753,OK,3301,140,3673,141,980,1,398,1,217,,0,72
sokoban-4-1_1obstacles_5,2.40163516998291,OK,1233,144,1352,144,2119,1,129,1,70,,0,75
sokoban-4-1_1obstacles_6,0.7835092544555664,OK,1152,62,1254,62,480,1,107,1,71,,0,68
sokoban-4-1_1obstacles_7,0.7214322090148926,OK,1116,124,1231,124,432,1,126,1,69,,0,72
sokoban-4-1_1obstacles_8,1.2730116844177246,OK,3303,52,3675,52,964,1,397,1,217,,0,67
sokoban-4-1_1obstacles_9,0.7518632411956787,OK,1533,156,1685,156,470,1,161,1,92,,0,71
sokoban-4-1_2obstacles_1,3.2799081802368164,OK,1032,134,1139,135,2980,1,133,1,99,,0,71
sokoban-4-1_2obstacles_10,0.8023426532745361,OK,244,126,265,128,501,1,26,1,15,,0,72
sokoban-4-1_2obstacles_2,0.9082016944885254,OK,1718,0,1921,0,633,0,259,0,180,,0,75
sokoban-4-1_2obstacles_3,0.729630708694458,OK,450,100,489,100,444,1,43,1,34,,0,71
sokoban-4-1_2obstacles_4,0.956477165222168,OK,2431,72,2700,72,659,1,318,1,200,,0,70
sokoban-4-1_2obstacles_5,0.8637208938598633,OK,1735,62,1914,62,511,1,200,1,122,,0,74
sokoban-4-1_2obstacles_6,0.7844514846801758,OK,1268,0,1428,0,528,0,183,0,105,,0,66
sokoban-4-1_2obstacles_7,0.7015979290008545,OK,982,82,1080,82,409,1,128,1,97,,0,69
sokoban-4-1_2obstacles_8,0.896160364151001,OK,1910,124,2116,124,587,1,247,1,147,,0,68
sokoban-4-1_2obstacles_9,0.6061985492706299,OK,228,82,249,82,335,1,28,1,19,,0,67
sokoban-4-1_3obstacles_1,0.6639988422393799,OK,815,122,908,122,377,1,117,1,82,,0,68
sokoban-4-1_3obstacles_10,0.588360071182251,OK,354,50,384,50,305,1,37,1,25,,0,70
sokoban-4-1_3obstacles_2,0.8253500461578369,OK,1596,0,1774,0,554,0,241,0,194,,0,71
sokoban-4-1_3obstacles_3,0.6452474594116211,OK,557,0,621,0,390,0,89,0,69,,0,73
sokoban-4-1_3obstacles_4,0.8335285186767578,OK,1215,72,1355,72,532,1,181,1,122,,0,66
sokoban-4-1_3obstacles_5,0.6168389320373535,OK,275,42,299,42,336,1,34,1,23,,0,66
sokoban-4-1_3obstacles_6,0.815911054611206,OK,754,122,844,122,462,1,111,1,88,,0,65
sokoban-4-1_3obstacles_7,0.6280248165130615,OK,581,42,635,42,348,1,66,1,41,,0,70
sokoban-4-1_3obstacles_8,0.5993335247039795,OK,203,0,227,0,363,0,34,0,22,,0,65
sokoban-4-1_3obstacles_9,0.6298627853393555,OK,453,62,493,62,317,1,55,1,37,,0,71
sokoban-4-1_4obstacles_1,0.551260232925415,OK,18,0,19,0,311,0,2,0,4,,0,67
sokoban-4-1_4obstacles_10,0.7410125732421875,OK,459,0,513,0,484,0,68,0,52,,0,74
sokoban-4-1_4obstacles_2,0.963001012802124,OK,1490,144,1674,145,664,1,218,1,144,,0,75
sokoban-4-1_4obstacles_3,2.748537540435791,OK,188,0,207,0,293,0,34,0,26,,0,73
sokoban-4-1_4obstacles_4,0.7408363819122314,OK,1086,0,1217,0,478,0,174,0,128,,0,67
sokoban-4-1_4obstacles_5,0.6421756744384766,OK,412,0,460,0,385,0,63,0,46,,0,73
sokoban-4-1_4obstacles_6,0.6278238296508789,OK,188,0,210,0,387,0,32,0,26,,0,68
sokoban-4-1_4obstacles_7,0.6986863613128662,OK,910,0,1017,0,438,0,151,0,104,,0,72
sokoban-4-1_4obstacles_8,0.6179478168487549,OK,228,0,257,0,377,0,39,0,25,,0,69
sokoban-4-1_4obstacles_9,0.4858393669128418,OK,18,0,19,0,234,0,2,0,4,,0,71
