Model,Scenario,instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
DQN Agent 400e,0obstacles_1,sokoban-5-1_0obstacles_1,1.004683256149292,OK,2116,94,2313,94,670,1,210,1,114,,0,93
DQN Agent 1000e,0obstacles_1,sokoban-5-1_0obstacles_1,3.4165210723876953,OK,7564,366,8531,370,3014,1,993,1,411,,0,96
Previous RL,0obstacles_1,sokoban-5-1_0obstacles_1,1.0521209239959717,OK,2167,94,2371,94,721,1,132,1,104,,0,92
DQN Agent 400e,0obstacles_10,sokoban-5-1_0obstacles_10,0.6992413997650146,OK,669,112,704,112,365,1,52,1,36,,0,89
DQN Agent 1000e,0obstacles_10,sokoban-5-1_0obstacles_10,3.139392614364624,OK,8310,520,9324,531,2734,1,980,1,434,,0,101
Previous RL,0obstacles_10,sokoban-5-1_0obstacles_10,1.776045560836792,OK,1313,140,1429,144,578,1,75,1,57,,0,112
DQN Agent 400e,0obstacles_2,sokoban-5-1_0obstacles_2,1.6471409797668457,OK,5474,258,6053,258,1285,1,638,1,297,,0,102
DQN Agent 1000e,0obstacles_2,sokoban-5-1_0obstacles_2,1.1680903434753418,OK,3490,118,3838,120,834,1,301,1,208,,0,99
Previous RL,0obstacles_2,sokoban-5-1_0obstacles_2,1.2246298789978027,OK,2720,118,3022,120,896,1,196,1,120,,0,96
DQN Agent 400e,0obstacles_3,sokoban-5-1_0obstacles_3,1.685453176498413,OK,5904,42,6515,42,1346,1,681,1,334,,0,94
DQN Agent 1000e,0obstacles_3,sokoban-5-1_0obstacles_3,0.5947704315185547,OK,80,42,81,42,300,1,1,1,5,,0,82
Previous RL,0obstacles_3,sokoban-5-1_0obstacles_3,0.6694483757019043,OK,337,42,355,42,343,1,12,1,17,,0,96
DQN Agent 400e,0obstacles_4,sokoban-5-1_0obstacles_4,2.5680196285247803,OK,8338,92,9314,92,2206,1,1045,1,467,,0,96
DQN Agent 1000e,0obstacles_4,sokoban-5-1_0obstacles_4,0.711543083190918,OK,500,92,523,92,359,1,18,1,35,,0,100
Previous RL,0obstacles_4,sokoban-5-1_0obstacles_4,1.547365665435791,OK,3567,116,3894,118,1194,1,204,1,147,,0,91
DQN Agent 400e,0obstacles_5,sokoban-5-1_0obstacles_5,2.8307511806488037,OK,5252,182,5828,185,1514,1,655,1,296,,0,97
DQN Agent 1000e,0obstacles_5,sokoban-5-1_0obstacles_5,3.292433738708496,OK,7564,400,8531,407,2912,1,994,1,411,,0,103
Previous RL,0obstacles_5,sokoban-5-1_0obstacles_5,2.765308141708374,OK,6087,256,6802,259,2384,1,475,1,311,,0,90
DQN Agent 400e,0obstacles_6,sokoban-5-1_0obstacles_6,3.6011579036712646,OK,8169,286,9211,294,3221,1,1152,1,462,,0,104
DQN Agent 1000e,0obstacles_6,sokoban-5-1_0obstacles_6,0.7757167816162109,OK,734,114,776,115,414,1,28,1,45,,0,97
Previous RL,0obstacles_6,sokoban-5-1_0obstacles_6,0.887336254119873,OK,1140,248,1244,256,545,1,70,1,53,,0,93
DQN Agent 400e,0obstacles_7,sokoban-5-1_0obstacles_7,1.8066792488098145,OK,5552,218,6079,218,1450,1,572,1,302,,0,95
DQN Agent 1000e,0obstacles_7,sokoban-5-1_0obstacles_7,1.273836612701416,OK,3234,118,3613,118,943,1,379,1,174,,0,96
Previous RL,0obstacles_7,sokoban-5-1_0obstacles_7,2.1684646606445312,OK,5035,152,5627,154,1831,1,386,1,248,,0,92
DQN Agent 400e,0obstacles_8,sokoban-5-1_0obstacles_8,1.064340353012085,OK,2591,100,2821,100,733,1,291,1,150,,0,96
DQN Agent 1000e,0obstacles_8,sokoban-5-1_0obstacles_8,2.693070650100708,OK,7454,292,8381,296,2333,1,882,1,399,,0,89
Previous RL,0obstacles_8,sokoban-5-1_0obstacles_8,0.8062906265258789,OK,650,84,690,86,460,1,26,1,23,,0,99
DQN Agent 400e,0obstacles_9,sokoban-5-1_0obstacles_9,1.4745655059814453,OK,5043,136,5561,136,1129,1,552,1,268,,0,92
DQN Agent 1000e,0obstacles_9,sokoban-5-1_0obstacles_9,0.8849618434906006,OK,1498,94,1605,95,547,1,77,1,90,,0,99
Previous RL,0obstacles_9,sokoban-5-1_0obstacles_9,0.8962020874023438,OK,1423,72,1538,72,564,1,75,1,54,,0,95
