instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
sokoban-6-1_0obstacles_1,5.436331272125244,OK,10074,248,11309,250,4979,1,1093,1,417,,0,127
sokoban-6-1_0obstacles_10,0.9154911041259766,OK,850,194,933,194,492,1,70,1,27,,0,136
sokoban-6-1_0obstacles_2,2.8667707443237305,OK,5316,286,5944,292,2454,1,555,1,207,,0,127
sokoban-6-1_0obstacles_3,4.679151773452759,OK,7545,94,8483,94,4254,1,843,1,316,,0,123
sokoban-6-1_0obstacles_4,8.370970964431763,OK,13710,316,15411,325,7905,1,1493,1,586,,0,128
sokoban-6-1_0obstacles_5,0.9175353050231934,OK,822,146,917,147,535,1,85,1,27,,0,124
sokoban-6-1_0obstacles_6,5.0292274951934814,OK,8608,128,9674,131,4561,1,953,1,352,,0,123
sokoban-6-1_0obstacles_7,2.981166362762451,OK,6309,214,7053,218,2575,1,645,1,256,,0,119
sokoban-6-1_0obstacles_8,1.123105525970459,OK,1658,128,1836,129,739,1,160,1,64,,0,122
sokoban-6-1_0obstacles_9,1.4777543544769287,OK,2502,128,2776,130,1110,1,245,1,100,,0,120
sokoban-6-1_1obstacles_1,1.4488584995269775,OK,2767,352,3050,356,1064,1,248,1,101,,0,118
sokoban-6-1_1obstacles_10,3.1469805240631104,OK,6562,246,7336,252,2734,1,676,1,270,,0,119
sokoban-6-1_1obstacles_2,8.343632459640503,OK,12591,256,14177,260,7922,1,1394,1,531,,0,123
sokoban-6-1_1obstacles_3,0.9023482799530028,OK,850,194,933,194,517,1,70,1,27,,0,122
sokoban-6-1_1obstacles_4,4.869731187820435,OK,8748,254,9845,255,4433,1,980,1,364,,0,125
sokoban-6-1_1obstacles_5,1.0718588829040527,OK,1259,218,1398,220,664,1,134,1,44,,0,130
sokoban-6-1_1obstacles_6,6.195124387741089,OK,10397,138,11657,138,5742,1,1105,1,423,,0,119
sokoban-6-1_1obstacles_7,3.644156694412232,OK,5911,60,6721,60,3232,1,738,1,251,,0,121
sokoban-6-1_1obstacles_8,1.5436747074127195,OK,2998,182,3329,184,1161,1,298,1,112,,0,126
sokoban-6-1_1obstacles_9,4.592785358428955,OK,8592,290,9647,294,4164,1,939,1,350,,0,124
sokoban-6-1_2obstacles_1,1.391435146331787,OK,2474,172,2776,173,1007,1,310,1,123,,0,122
sokoban-6-1_2obstacles_10,3.692127704620361,OK,7114,442,7949,448,3277,1,792,1,365,,0,119
sokoban-6-1_2obstacles_2,5.498480319976807,OK,10590,268,11944,274,5095,1,1255,1,519,,0,115
sokoban-6-1_2obstacles_3,2.444976329803467,OK,5801,324,6456,325,2031,1,625,1,289,,0,119
sokoban-6-1_2obstacles_4,1.344208002090454,OK,2613,314,2907,322,934,1,283,1,128,,0,127
sokoban-6-1_2obstacles_5,2.624753475189209,OK,4077,172,4586,176,2162,1,482,1,189,,0,149
sokoban-6-1_2obstacles_6,1.555915117263794,OK,2694,170,3032,175,1151,1,331,1,122,,0,134
sokoban-6-1_2obstacles_7,7.0183985233306885,OK,12168,282,13690,287,6556,1,1421,1,583,,0,125
sokoban-6-1_2obstacles_8,1.4674041271209717,OK,2476,216,2740,218,1087,1,264,1,114,,0,115
sokoban-6-1_2obstacles_9,8.432052373886108,OK,13839,422,15580,426,7995,1,1595,1,665,,0,108
sokoban-6-1_3obstacles_1,2.9876725673675537,OK,5831,282,6612,285,2567,1,749,1,325,,0,130
sokoban-6-1_3obstacles_10,3.08495831489563,OK,5905,264,6700,264,2672,1,761,1,313,,0,121
sokoban-6-1_3obstacles_2,0.9043664932250975,OK,608,84,675,84,517,1,68,1,28,,0,120
sokoban-6-1_3obstacles_3,5.101275205612183,OK,9840,318,11085,323,4623,1,1204,1,584,,0,118
sokoban-6-1_3obstacles_4,7.319860696792602,OK,11593,508,13122,520,6874,1,1439,1,602,,0,119
sokoban-6-1_3obstacles_5,10.185351133346558,OK,13445,460,15257,467,9741,1,1742,1,782,,0,117
sokoban-6-1_3obstacles_6,0.8101422786712646,OK,534,62,596,62,425,1,68,1,29,,0,129
sokoban-6-1_3obstacles_7,7.638938903808594,OK,11742,330,13315,336,7184,1,1513,1,647,,0,118
sokoban-6-1_3obstacles_8,5.39458155632019,OK,9664,278,10850,280,4942,1,1146,1,536,,0,124
sokoban-6-1_3obstacles_9,1.036031723022461,OK,986,110,1109,110,646,1,119,1,53,,0,123
sokoban-6-1_4obstacles_1,3.849644184112549,OK,7486,302,8417,308,3386,1,962,1,495,,0,122
sokoban-6-1_4obstacles_10,2.377640724182129,OK,4436,134,4969,135,1973,1,550,1,292,,0,119
sokoban-6-1_4obstacles_2,7.454918622970581,OK,11047,308,12471,308,7035,1,1390,1,683,,0,117
sokoban-6-1_4obstacles_3,7.405294179916382,OK,11416,468,12899,472,6962,1,1481,1,706,,0,121
sokoban-6-1_4obstacles_4,7.645803451538086,OK,11146,184,12652,184,7206,1,1469,1,701,,0,125
sokoban-6-1_4obstacles_5,6.53905177116394,OK,10152,316,11467,318,6109,1,1312,1,629,,0,114
sokoban-6-1_4obstacles_6,7.256202459335327,OK,11001,298,12455,302,6828,1,1406,1,697,,0,121
sokoban-6-1_4obstacles_7,2.01924467086792,OK,3958,198,4445,201,1604,1,526,1,233,,0,133
sokoban-6-1_4obstacles_8,0.6245028972625732,OK,18,0,19,0,281,0,2,0,4,,0,131
sokoban-6-1_4obstacles_9,1.641920804977417,OK,4202,182,4669,186,1246,1,442,1,205,,0,126
