Model,Scenario,instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
DQN Agent 400e,0obstacles_1,sokoban-4-1_0obstacles_1,1.0771090984344482,OK,2600,224,2886,228,717,1,281,1,178,,0,71
DQN Agent 1000e,0obstacles_1,sokoban-4-1_0obstacles_1,0.8773477077484131,OK,2182,116,2426,116,611,1,252,1,143,,0,67
Previous RL,0obstacles_1,sokoban-4-1_0obstacles_1,0.8612954616546631,OK,2113,92,2303,92,606,1,124,1,124,,0,69
RA,0obstacles_1,sokoban-4-1_0obstacles_1,1.8493859767913818,OK,1558,104,1697,105,1569,1,122,1,90,,0,67
DQN Agent 400e,0obstacles_10,sokoban-4-1_0obstacles_10,0.7701923847198486,OK,1871,180,2084,184,503,1,209,1,127,,0,65
DQN Agent 1000e,0obstacles_10,sokoban-4-1_0obstacles_10,0.8326992988586426,OK,1935,72,2156,72,570,1,230,1,129,,0,68
Previous RL,0obstacles_10,sokoban-4-1_0obstacles_10,0.6752467155456543,OK,996,94,1065,95,407,1,44,1,58,,0,68
RA,0obstacles_10,sokoban-4-1_0obstacles_10,1.0896265506744385,OK,656,72,700,72,816,1,38,1,30,,0,70
DQN Agent 400e,0obstacles_2,sokoban-4-1_0obstacles_2,0.9860241413116455,OK,3072,256,3418,262,691,1,349,1,204,,0,72
DQN Agent 1000e,0obstacles_2,sokoban-4-1_0obstacles_2,0.8586177825927734,OK,2411,150,2687,153,588,1,288,1,157,,0,69
Previous RL,0obstacles_2,sokoban-4-1_0obstacles_2,0.9612810611724854,OK,2599,126,2871,127,688,1,180,1,167,,0,70
RA,0obstacles_2,sokoban-4-1_0obstacles_2,2.4812769889831543,OK,2138,204,2329,209,2196,1,169,1,125,,0,66
DQN Agent 400e,0obstacles_3,sokoban-4-1_0obstacles_3,0.8821799755096436,OK,2523,116,2790,116,587,1,260,1,163,,0,68
DQN Agent 1000e,0obstacles_3,sokoban-4-1_0obstacles_3,0.9387001991271973,OK,3029,116,3370,116,674,1,347,1,201,,0,68
