episode,starting_total_steps,starting_epsilon,is_win,avg_loss,reward,win,steps,composition_size
0,0,1.0,True,0.0,289.0899999999999,True,91,"(0, 0)"
1,0,0.9972112676056338,False,1.6270012463499235,-788.9799999999973,False,298,"(0, 0)"
2,0,0.9944225352112676,False,3.9191438299697516,-567.9799999999973,False,298,"(0, 0)"
3,0,0.9916338028169014,False,4.523338849312507,-1190.9799999999975,False,298,"(0, 0)"
4,0,0.9888450704225352,True,4.391996443271637,88.88000000000014,True,112,"(0, 0)"
5,0,0.986056338028169,False,5.1070589987223585,-1592.979999999998,False,298,"(0, 0)"
6,0,0.9832676056338028,False,5.507096164178528,-1029.9799999999982,False,298,"(0, 0)"
7,0,0.9804788732394366,False,5.535948873366285,-1210.979999999998,False,298,"(0, 0)"
8,0,0.9776901408450704,False,6.10981598316423,-748.9799999999979,False,298,"(0, 0)"
9,0,0.9749014084507043,True,5.945486072206149,-312.73999999999774,True,274,"(0, 0)"
10,0,0.972112676056338,False,5.850818026785882,-1210.979999999998,False,298,"(0, 0)"
11,0,0.9693239436619718,False,5.7064125045833975,-788.979999999998,False,298,"(0, 0)"
12,0,0.9665352112676057,False,5.279007458046779,-547.9799999999973,False,298,"(0, 0)"
13,0,0.9637464788732394,False,5.342157258683403,-748.9799999999973,False,298,"(0, 0)"
14,0,0.9609577464788732,False,5.237164747795003,-567.9799999999973,False,298,"(0, 0)"
15,0,0.958169014084507,False,5.141312034338113,-808.9799999999976,False,298,"(0, 0)"
16,0,0.9553802816901409,False,5.151383443566777,-808.9799999999977,False,298,"(0, 0)"
17,0,0.9525915492957746,False,5.2502405251432585,-788.9799999999973,False,298,"(0, 0)"
18,0,0.9498028169014084,False,5.32533436973623,-1351.9799999999977,False,298,"(0, 0)"
19,0,0.9470140845070423,False,5.197192158475018,-587.9799999999973,False,298,"(0, 0)"
20,0,0.944225352112676,False,5.054130008556699,-1190.9799999999973,False,298,"(0, 0)"
21,0,0.9414366197183098,False,5.550325391076555,-1773.9799999999975,False,298,"(0, 0)"
22,0,0.9386478873239437,False,5.72695206515741,-989.9799999999977,False,298,"(0, 0)"
23,0,0.9358591549295775,True,5.646108061458931,-112.32999999999811,True,233,"(0, 0)"
24,0,0.9330704225352113,False,5.7398580570748985,-1230.979999999998,False,298,"(0, 0)"
25,0,0.930281690140845,False,5.651020689698674,-1371.9799999999989,False,298,"(0, 0)"
26,0,0.9274929577464789,False,5.716866390017055,-165.97999999999735,False,298,"(0, 0)"
27,0,0.9247042253521127,True,5.973692884164698,-512.5499999999985,True,255,"(0, 0)"
28,0,0.9219154929577464,True,5.543050875317865,-111.92999999999893,True,193,"(0, 0)"
29,0,0.9191267605633803,False,5.656204933288113,-828.9799999999976,False,298,"(0, 0)"
30,0,0.9163380281690141,False,5.650519437037858,-788.9799999999973,False,298,"(0, 0)"
31,0,0.9135492957746479,False,5.4534494564837255,-989.9799999999976,False,298,"(0, 0)"
32,0,0.9107605633802817,True,5.524068342900909,-111.12999999999903,True,113,"(0, 0)"
33,0,0.9079718309859155,False,5.586550852996391,-969.9799999999973,False,298,"(0, 0)"
34,0,0.9051830985915493,True,5.156306275747772,-111.32999999999959,True,133,"(0, 0)"
35,0,0.9023943661971832,False,5.322776578816791,-1813.979999999998,False,298,"(0, 0)"
36,0,0.8996056338028169,False,5.467254587867916,-768.9799999999973,False,298,"(0, 0)"
37,0,0.8968169014084507,False,5.561037213210292,-366.97999999999735,False,298,"(0, 0)"
38,0,0.8940281690140846,False,5.175314980865325,-768.9799999999973,False,298,"(0, 0)"
39,0,0.8912394366197183,False,5.483047618961974,-627.9799999999992,False,298,"(0, 0)"
40,0,0.8884507042253521,False,5.494499237345369,-1230.9799999999975,False,298,"(0, 0)"
41,0,0.8856619718309859,False,5.590740089448507,-1837.9799999999975,False,298,"(0, 0)"
42,0,0.8828732394366198,False,5.439369197659844,-165.97999999999905,False,298,"(0, 0)"
43,0,0.8800845070422535,False,5.023708145490429,35.01999999999995,False,298,"(0, 0)"
44,0,0.8772957746478873,False,4.847385164075249,-1753.9799999999975,False,298,"(0, 0)"
45,0,0.8745070422535212,False,4.971311469006058,-567.9799999999981,False,298,"(0, 0)"
46,0,0.871718309859155,False,4.905200396808202,-567.9799999999989,False,298,"(0, 0)"
47,0,0.8689295774647887,True,4.992668901390272,-112.32999999999862,True,233,"(0, 0)"
48,0,0.8661408450704225,False,5.027216513284901,-386.9799999999974,False,298,"(0, 0)"
49,0,0.8633521126760564,False,4.952016475216654,-808.9799999999987,False,298,"(0, 0)"
50,0,0.8605633802816901,False,4.896485745106768,-989.9799999999983,False,298,"(0, 0)"
51,0,0.8577746478873239,False,5.123242865472832,-1612.9799999999975,False,298,"(0, 0)"
52,0,0.8549859154929578,True,4.859393684438957,-1112.5799999999977,True,258,"(0, 0)"
53,0,0.8521971830985915,False,4.985266164245221,-1331.9799999999973,False,298,"(0, 0)"
