Model,Scenario,instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
DQN Agent 400e,0obstacles_1,sokoban-7-1_0obstacles_1,0.9510166645050049,OK,837,54,902,54,522,1,63,1,45,,0,140
DQN Agent 1000e,0obstacles_1,sokoban-7-1_0obstacles_1,4.5028040409088135,OK,8704,118,9712,118,4043,1,875,1,269,,0,157
Previous RL,0obstacles_1,sokoban-7-1_0obstacles_1,0.9636952877044678,OK,797,54,855,54,527,1,36,1,35,,0,152
DQN Agent 400e,0obstacles_10,sokoban-7-1_0obstacles_10,0.8615810871124268,OK,704,232,758,238,404,1,48,1,23,,0,171
DQN Agent 1000e,0obstacles_10,sokoban-7-1_0obstacles_10,65.17783665657043,OK,32199,566,36681,575,64678,1,4148,1,1156,,0,142
Previous RL,0obstacles_10,sokoban-7-1_0obstacles_10,1.0003998279571533,OK,700,196,799,204,582,1,69,1,23,,0,149
DQN Agent 400e,0obstacles_2,sokoban-7-1_0obstacles_2,3.210325241088867,OK,5374,160,6006,165,2766,1,530,1,174,,0,148
DQN Agent 1000e,0obstacles_2,sokoban-7-1_0obstacles_2,15.406213521957397,OK,18349,368,20721,371,14950,1,2209,1,603,,0,143
Previous RL,0obstacles_2,sokoban-7-1_0obstacles_2,1.0296804904937744,OK,1064,148,1166,152,615,1,68,1,29,,0,143
DQN Agent 400e,0obstacles_3,sokoban-7-1_0obstacles_3,26.62687063217163,OK,16245,522,18331,527,26149,1,1892,1,602,,0,163
DQN Agent 1000e,0obstacles_3,sokoban-7-1_0obstacles_3,31.346272468566895,OK,24867,422,28182,425,30865,1,3048,1,836,,0,144
Previous RL,0obstacles_3,sokoban-7-1_0obstacles_3,18.86516809463501,OK,14552,506,16428,520,18365,1,1192,1,426,,0,152
DQN Agent 400e,0obstacles_4,sokoban-7-1_0obstacles_4,27.776542901992798,OK,16073,354,18141,359,27278,1,1875,1,604,,0,157
DQN Agent 1000e,0obstacles_4,sokoban-7-1_0obstacles_4,19.719380617141724,OK,20043,434,22621,440,19265,1,2348,1,687,,0,141
Previous RL,0obstacles_4,sokoban-7-1_0obstacles_4,7.55724835395813,OK,10193,290,11447,295,7092,1,811,1,320,,0,153
DQN Agent 400e,0obstacles_5,sokoban-7-1_0obstacles_5,1.115344762802124,OK,1330,130,1484,132,633,1,135,1,40,,0,171
