Model,Scenario,instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
DQN Agent 400e,0obstacles_1,sokoban-7-1_0obstacles_1,27.844663619995117,OK,27974,138,31742,138,27357,1,3165,1,996,,0,139
DQN Agent 1000e,0obstacles_1,sokoban-7-1_0obstacles_1,22.83297300338745,OK,12170,204,13976,207,22362,1,1593,1,482,,0,141
Previous RL,0obstacles_1,sokoban-7-1_0obstacles_1,1.0546424388885498,OK,797,54,855,54,655,1,36,1,35,,0,142
DQN Agent 400e,0obstacles_10,sokoban-7-1_0obstacles_10,0.8721518516540527,OK,402,100,442,100,419,1,42,1,15,,0,157
DQN Agent 1000e,0obstacles_10,sokoban-7-1_0obstacles_10,129.3905210494995,OK,35359,400,40669,405,128913,1,4692,1,1368,,0,153
Previous RL,0obstacles_10,sokoban-7-1_0obstacles_10,0.9119091033935547,OK,700,196,799,204,477,1,69,1,23,,0,153
DQN Agent 400e,0obstacles_2,sokoban-7-1_0obstacles_2,7.899929046630859,OK,12145,290,13785,293,7458,1,1568,1,428,,0,146
DQN Agent 1000e,0obstacles_2,sokoban-7-1_0obstacles_2,12.106490135192871,OK,12867,176,14738,177,11655,1,1653,1,482,,0,150
Previous RL,0obstacles_2,sokoban-7-1_0obstacles_2,1.1029291152954102,OK,1064,148,1166,152,614,1,68,1,29,,0,161
DQN Agent 400e,0obstacles_3,sokoban-7-1_0obstacles_3,41.70452404022217,OK,27031,316,30756,317,41225,1,3322,1,958,,0,149
DQN Agent 1000e,0obstacles_3,sokoban-7-1_0obstacles_3,36.37103748321533,OK,19963,566,22879,573,35873,1,2613,1,765,,0,159
Previous RL,0obstacles_3,sokoban-7-1_0obstacles_3,19.232457876205444,OK,14552,506,16428,520,18747,1,1192,1,426,,0,141
DQN Agent 400e,0obstacles_4,sokoban-7-1_0obstacles_4,23.308401584625244,OK,22378,480,25353,486,22817,1,2528,1,781,,0,135
DQN Agent 1000e,0obstacles_4,sokoban-7-1_0obstacles_4,30.45436143875122,OK,14296,278,16334,278,29999,1,1804,1,551,,0,156
Previous RL,0obstacles_4,sokoban-7-1_0obstacles_4,7.6610634326934814,OK,10193,290,11447,295,7192,1,811,1,320,,0,164
DQN Agent 400e,0obstacles_5,sokoban-7-1_0obstacles_5,2.4762818813323975,OK,6630,166,7440,166,2038,1,719,1,257,,0,136
DQN Agent 1000e,0obstacles_5,sokoban-7-1_0obstacles_5,124.59480094909668,OK,32809,166,37718,166,124124,1,4344,1,1254,,0,152
Previous RL,0obstacles_5,sokoban-7-1_0obstacles_5,2.813270092010498,OK,5936,130,6581,132,2353,1,398,1,164,,0,156
DQN Agent 400e,0obstacles_6,sokoban-7-1_0obstacles_6,8.557004451751709,OK,8184,344,9308,348,8084,1,1090,1,289,,0,156
