instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
sokoban-4-1_0obstacles_1,2.1346120834350586,OK,1052,116,1133,118,1755,1,114,1,73,,0,68
sokoban-4-1_0obstacles_1,0.9523637294769288,OK,1052,116,1133,118,660,1,114,1,73,,0,72
sokoban-4-1_0obstacles_10,1.0359792709350586,OK,2666,72,2963,72,748,1,386,1,184,,0,68
sokoban-4-1_0obstacles_2,0.7898657321929932,OK,1072,150,1156,153,502,1,120,1,74,,0,70
sokoban-4-1_0obstacles_3,0.7407190799713135,OK,1076,96,1149,96,455,1,92,1,64,,0,70
sokoban-4-1_0obstacles_4,1.0139997005462646,OK,2146,84,2367,84,730,1,295,1,149,,0,68
sokoban-4-1_0obstacles_5,0.8441267013549805,OK,516,40,544,40,563,1,37,1,23,,0,67
sokoban-4-1_0obstacles_6,1.1036198139190674,OK,2414,106,2678,107,811,1,348,1,169,,0,68
sokoban-4-1_0obstacles_7,0.720085859298706,OK,232,72,246,73,443,1,15,1,9,,0,69
sokoban-4-1_0obstacles_8,0.9012682437896729,OK,1306,94,1395,94,606,1,118,1,87,,0,71
sokoban-4-1_0obstacles_9,0.8313591480255127,OK,968,86,1029,86,547,1,79,1,53,,0,68
sokoban-4-1_1obstacles_1,0.7805156707763672,OK,248,82,262,83,495,1,18,1,11,,0,71
sokoban-4-1_1obstacles_10,0.8721847534179688,OK,1724,92,1851,92,590,1,166,1,119,,0,76
sokoban-4-1_1obstacles_2,0.814178466796875,OK,888,42,946,42,523,1,75,1,50,,0,80
sokoban-4-1_1obstacles_3,0.8264479637145996,OK,390,40,411,40,545,1,26,1,19,,0,69
sokoban-4-1_1obstacles_4,0.888390302658081,OK,956,74,1017,74,597,1,79,1,53,,0,73
sokoban-4-1_1obstacles_5,1.0081584453582764,OK,2146,84,2367,84,718,1,295,1,149,,0,73
sokoban-4-1_1obstacles_6,0.7136921882629395,OK,1044,62,1108,62,419,1,86,1,60,,0,66
sokoban-4-1_1obstacles_7,1.4811668395996094,OK,3680,84,4108,84,1185,1,538,1,256,,0,72
sokoban-4-1_1obstacles_8,0.7690505981445312,OK,528,52,556,52,482,1,37,1,23,,0,67
sokoban-4-1_1obstacles_9,1.0481693744659424,OK,2406,96,2666,96,773,1,343,1,169,,0,69
sokoban-4-1_2obstacles_1,0.7430346012115479,OK,493,134,535,135,454,1,61,1,44,,0,73
sokoban-4-1_2obstacles_10,1.132185935974121,OK,2802,148,3145,151,851,1,435,1,222,,0,66
sokoban-4-1_2obstacles_2,1.004913330078125,OK,1718,0,1921,0,750,0,263,0,183,,0,67
sokoban-4-1_2obstacles_3,0.8198304176330566,OK,1436,100,1596,100,531,1,210,1,133,,0,73
sokoban-4-1_2obstacles_4,0.6935250759124756,OK,261,72,274,72,423,1,16,1,12,,0,68
sokoban-4-1_2obstacles_5,1.072276592254639,OK,2583,62,2886,62,798,1,391,1,205,,0,67
sokoban-4-1_2obstacles_6,0.7934138774871826,OK,1268,0,1428,0,545,0,187,0,109,,0,73
sokoban-4-1_2obstacles_7,0.7720215320587158,OK,943,82,1031,82,489,1,121,1,92,,0,72
sokoban-4-1_2obstacles_8,1.0359930992126465,OK,2804,124,3145,124,747,1,433,1,247,,0,70
sokoban-4-1_2obstacles_9,0.717017412185669,OK,273,82,291,82,436,1,24,1,16,,0,72
sokoban-4-1_3obstacles_1,0.8515944480895996,OK,764,166,836,166,557,1,103,1,71,,0,70
sokoban-4-1_3obstacles_10,0.8625762462615967,OK,768,50,827,50,580,1,86,1,63,,0,70
sokoban-4-1_3obstacles_2,0.9722175598144532,OK,1596,0,1774,0,691,0,245,0,192,,0,77
sokoban-4-1_3obstacles_3,0.6876862049102783,OK,557,0,621,0,440,0,88,0,69,,0,69
sokoban-4-1_3obstacles_4,0.7251932621002197,OK,780,72,860,72,434,1,119,1,77,,0,74
sokoban-4-1_3obstacles_5,0.7186894416809082,OK,82,42,85,42,450,1,3,1,2,,0,67
sokoban-4-1_3obstacles_6,0.6629390716552734,OK,569,122,634,122,369,1,87,1,64,,0,71
sokoban-4-1_3obstacles_7,0.718904972076416,OK,71,42,73,42,456,1,2,1,1,,0,69
sokoban-4-1_3obstacles_8,0.7329363822937012,OK,203,0,227,0,478,0,32,0,22,,0,80
sokoban-4-1_3obstacles_9,0.8022439479827881,OK,857,62,932,62,521,1,97,1,83,,0,70
sokoban-4-1_4obstacles_1,0.5411598682403564,OK,18,0,19,0,290,0,2,0,4,,0,71
sokoban-4-1_4obstacles_10,0.719505786895752,OK,459,0,513,0,485,0,76,0,54,,0,67
sokoban-4-1_4obstacles_2,0.9002277851104736,OK,1097,166,1220,168,608,1,186,1,104,,0,68
sokoban-4-1_4obstacles_3,0.6144905090332031,OK,188,0,207,0,369,0,29,0,25,,0,70
sokoban-4-1_4obstacles_4,0.8663809299468994,OK,1086,0,1217,0,619,0,178,0,126,,0,70
sokoban-4-1_4obstacles_5,0.8020439147949219,OK,412,0,460,0,567,0,73,0,44,,0,69
sokoban-4-1_4obstacles_6,0.7303276062011719,OK,188,0,210,0,482,0,33,0,25,,0,72
sokoban-4-1_4obstacles_7,0.7806706428527832,OK,910,0,1017,0,540,0,154,0,105,,0,68
sokoban-4-1_4obstacles_8,0.7220973968505859,OK,228,0,257,0,476,0,43,0,26,,0,70
sokoban-4-1_4obstacles_9,0.5933330059051514,OK,18,0,19,0,350,0,2,0,4,,0,73
sokoban-4-1_0obstacles_1,0.7526631355285645,OK,1052,116,1133,118,458,1,114,1,73,,0,72
sokoban-4-1_0obstacles_10,0.9991819858551024,OK,2666,72,2963,72,718,1,386,1,184,,0,71
sokoban-4-1_0obstacles_2,0.8178737163543701,OK,1072,150,1156,153,520,1,120,1,74,,0,74
sokoban-4-1_0obstacles_3,0.6770825386047363,OK,1076,96,1149,96,398,1,92,1,64,,0,71
sokoban-4-1_0obstacles_4,0.929689884185791,OK,2146,84,2367,84,647,1,295,1,149,,0,71
sokoban-4-1_0obstacles_5,0.674891471862793,OK,516,40,544,40,323,1,37,1,23,,0,78
sokoban-4-1_0obstacles_6,1.0433313846588137,OK,2414,106,2678,107,746,1,348,1,169,,0,76
sokoban-4-1_0obstacles_7,0.5798346996307373,OK,232,72,246,73,307,1,15,1,9,,0,69
sokoban-4-1_0obstacles_8,0.7216289043426514,OK,1306,94,1395,94,432,1,118,1,87,,0,73
sokoban-4-1_0obstacles_9,0.6818363666534424,OK,968,86,1029,86,401,1,79,1,53,,0,71
sokoban-4-1_1obstacles_1,0.5880465507507324,OK,248,82,262,83,293,1,18,1,11,,0,72
sokoban-4-1_1obstacles_10,0.7704265117645264,OK,1724,92,1851,92,472,1,166,1,119,,0,73
sokoban-4-1_1obstacles_2,0.643394947052002,OK,888,42,946,42,364,1,75,1,50,,0,71
