instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
sokoban-5-1_0obstacles_1,3.2605576515197754,OK,7297,360,8231,362,2837,1,832,1,378,,0,93
sokoban-5-1_0obstacles_10,2.941498041152954,OK,7582,288,8520,290,2581,1,818,1,383,,0,90
sokoban-5-1_0obstacles_2,0.9586598873138428,OK,1451,118,1630,120,612,1,162,1,70,,0,89
sokoban-5-1_0obstacles_3,1.2098534107208252,OK,3557,42,3969,42,881,1,361,1,173,,0,91
sokoban-5-1_0obstacles_4,2.469202280044556,OK,7374,140,8313,140,2103,1,856,1,380,,0,95
sokoban-5-1_0obstacles_5,3.5879409313201904,OK,6961,276,7846,279,2742,1,790,1,369,,0,99
sokoban-5-1_0obstacles_6,1.0724782943725586,OK,1663,138,1854,141,719,1,166,1,81,,0,97
sokoban-5-1_0obstacles_7,1.5291144847869873,OK,3650,118,4105,118,1170,1,409,1,187,,0,91
sokoban-5-1_0obstacles_8,2.729234457015991,OK,7753,306,8739,308,2362,1,872,1,405,,0,93
sokoban-5-1_0obstacles_9,2.408825159072876,OK,7338,116,8275,116,2062,1,856,1,379,,0,94
sokoban-5-1_1obstacles_1,3.6072707176208496,OK,5174,302,5837,309,3251,1,608,1,275,,0,91
sokoban-5-1_1obstacles_10,1.5841169357299805,OK,4849,86,5417,86,1252,1,499,1,237,,0,86
sokoban-5-1_1obstacles_2,0.7956047058105469,OK,798,160,889,163,462,1,82,1,37,,0,92
sokoban-5-1_1obstacles_3,0.7470724582672119,OK,502,84,553,84,417,1,45,1,22,,0,86
sokoban-5-1_1obstacles_4,0.7385027408599854,OK,998,104,1099,104,410,1,87,1,46,,0,86
sokoban-5-1_1obstacles_5,0.6120758056640625,OK,177,72,187,72,311,1,7,1,6,,0,87
sokoban-5-1_1obstacles_6,1.1874902248382568,OK,2365,118,2651,118,859,1,262,1,120,,0,95
sokoban-5-1_1obstacles_7,1.1245198249816897,OK,2609,116,2909,116,775,1,266,1,122,,0,89
sokoban-5-1_1obstacles_8,1.099226951599121,OK,1948,60,2178,60,769,1,212,1,95,,0,98
sokoban-5-1_1obstacles_9,0.7221076488494873,OK,492,70,535,70,403,1,34,1,21,,0,89
sokoban-5-1_2obstacles_1,0.6200811862945557,OK,40,30,40,30,315,1,0,1,3,,0,87
sokoban-5-1_2obstacles_10,1.066678762435913,OK,2002,246,2227,248,715,1,224,1,129,,0,92
sokoban-5-1_2obstacles_2,2.759994506835937,OK,6021,94,6804,94,2351,1,723,1,356,,0,89
sokoban-5-1_2obstacles_3,0.9236655235290528,OK,1851,116,2078,119,588,1,226,1,118,,0,93
sokoban-5-1_2obstacles_4,1.1873507499694824,OK,2681,222,2997,223,828,1,288,1,165,,0,87
sokoban-5-1_2obstacles_5,0.6854987144470215,OK,331,108,369,112,360,1,31,1,20,,0,91
sokoban-5-1_2obstacles_6,1.4012532234191897,OK,2891,246,3217,248,963,1,323,1,171,,0,96
sokoban-5-1_2obstacles_7,1.024641036987305,OK,1878,180,2087,181,671,1,191,1,105,,0,84
sokoban-5-1_2obstacles_8,0.6806504726409912,OK,109,40,116,40,349,1,8,1,5,,0,91
sokoban-5-1_2obstacles_9,1.215679407119751,OK,2850,104,3192,104,880,1,330,1,168,,0,102
sokoban-5-1_3obstacles_1,3.081531286239624,OK,6936,0,7852,0,2742,0,1018,0,591,,0,92
sokoban-5-1_3obstacles_10,0.6641945838928223,OK,411,126,457,128,324,1,46,1,28,,0,91
sokoban-5-1_3obstacles_2,1.3224360942840576,OK,2593,116,2908,117,976,1,370,1,201,,0,90
sokoban-5-1_3obstacles_3,3.7424685955047607,OK,7173,0,8144,0,3413,0,996,0,565,,0,90
sokoban-5-1_3obstacles_4,2.781179666519165,OK,6210,416,7039,422,2415,1,828,1,404,,0,100
sokoban-5-1_3obstacles_5,2.7460474967956543,OK,3392,202,3833,207,2406,1,472,1,263,,0,96
sokoban-5-1_3obstacles_6,0.827357292175293,OK,850,92,958,93,499,1,96,1,49,,0,90
sokoban-5-1_3obstacles_7,1.1849374771118164,OK,2718,0,3092,0,888,0,373,0,199,,0,93
sokoban-5-1_3obstacles_8,1.40338397026062,OK,3580,96,4037,99,1054,1,467,1,260,,0,96
sokoban-5-1_3obstacles_9,0.8558897972106934,OK,891,94,1004,94,517,1,120,1,56,,0,94
sokoban-5-1_4obstacles_1,1.900845289230347,OK,4834,190,5492,193,1552,1,668,1,323,,0,92
sokoban-5-1_4obstacles_10,0.9580123424530028,OK,1831,150,2039,150,637,1,226,1,124,,0,87
sokoban-5-1_4obstacles_2,1.3637995719909668,OK,2932,0,3328,0,1066,0,426,0,260,,0,84
sokoban-5-1_4obstacles_3,1.560736894607544,OK,3838,0,4340,0,1250,0,554,0,352,,0,95
sokoban-5-1_4obstacles_4,0.8989183902740479,OK,1732,148,1935,148,569,1,226,1,132,,0,92
sokoban-5-1_4obstacles_5,2.180538415908813,OK,5158,0,5840,0,1846,0,789,0,483,,0,84
sokoban-5-1_4obstacles_6,0.9339272975921632,OK,1707,116,1911,116,612,1,195,1,124,,0,89
sokoban-5-1_4obstacles_7,0.893566370010376,OK,1162,0,1318,0,607,0,187,0,99,,0,86
sokoban-5-1_4obstacles_8,1.580643653869629,OK,4586,0,5179,0,1250,0,707,0,438,,0,93
sokoban-5-1_4obstacles_9,1.6079764366149902,OK,2252,0,2555,0,968,0,337,0,193,,0,87
