episode,starting_total_steps,starting_epsilon,is_win,avg_loss,reward,win,steps,composition_size
0,0,1.0,False,0.3239177489440713,-406.9799999999984,False,298,"(0, 0)"
1,0,0.9988851351351351,False,2.9888796906343242,-1391.9799999999984,False,298,"(0, 0)"
2,0,0.9977702702702703,False,5.507128853925923,-812.9799999999973,False,298,"(0, 0)"
3,0,0.9966554054054054,False,5.018384829063543,-185.97999999999783,False,298,"(0, 0)"
4,0,0.9955405405405405,False,5.142814549023673,-949.9799999999973,False,298,"(0, 0)"
5,0,0.9944256756756756,False,5.3746662875949935,-1592.9799999999973,False,298,"(0, 0)"
6,0,0.9933108108108109,False,5.486587932445859,-768.9799999999983,False,298,"(0, 0)"
7,0,0.992195945945946,False,5.446321272610018,-547.9799999999973,False,298,"(0, 0)"
8,0,0.9910810810810811,False,5.38057161577596,-768.9799999999973,False,298,"(0, 0)"
9,0,0.9899662162162162,False,5.4842616047635175,-1801.9799999999973,False,298,"(0, 0)"
10,0,0.9888513513513514,False,5.880176518587458,-808.9799999999983,False,298,"(0, 0)"
11,0,0.9877364864864865,False,5.640949480485596,-185.97999999999885,False,298,"(0, 0)"
12,0,0.9866216216216216,False,5.887826399515139,-2034.9799999999973,False,298,"(0, 0)"
13,0,0.9855067567567568,False,5.91872639144027,-1029.9799999999984,False,298,"(0, 0)"
14,0,0.9843918918918919,False,6.044753155052262,-768.9799999999977,False,298,"(0, 0)"
15,0,0.983277027027027,False,5.712089759791457,-567.979999999998,False,298,"(0, 0)"
16,0,0.9821621621621621,False,5.754982171442685,-989.9799999999975,False,298,"(0, 0)"
17,0,0.9810472972972973,False,5.49686744069093,-788.9799999999973,False,298,"(0, 0)"
18,0,0.9799324324324324,False,5.339201979189111,-567.9799999999973,False,298,"(0, 0)"
19,0,0.9788175675675675,False,5.228089854221216,-1431.9799999999975,False,298,"(0, 0)"
20,0,0.9777027027027027,False,5.29301782822449,-989.9799999999984,False,298,"(0, 0)"
21,0,0.9765878378378379,False,5.200464747096068,-607.9799999999977,False,298,"(0, 0)"
22,0,0.975472972972973,False,4.882087913935616,-929.9799999999973,False,298,"(0, 0)"
23,0,0.9743581081081081,False,4.841733639472283,-2014.9799999999975,False,298,"(0, 0)"
24,0,0.9732432432432433,False,4.912187963124089,-832.9799999999973,False,298,"(0, 0)"
25,0,0.9721283783783784,False,4.684741755259917,-366.9799999999979,False,298,"(0, 0)"
26,0,0.9710135135135135,False,4.5000517564331926,-326.97999999999865,False,298,"(0, 0)"
27,0,0.9698986486486486,False,4.403154588185701,-567.9799999999981,False,298,"(0, 0)"
28,0,0.9687837837837838,False,4.407544409668685,-366.97999999999877,False,298,"(0, 0)"
29,0,0.9676689189189189,False,4.357242359410996,-788.9799999999973,False,298,"(0, 0)"
30,0,0.966554054054054,False,4.392399511681307,-1210.9799999999973,False,298,"(0, 0)"
31,0,0.9654391891891891,True,4.415763033590009,-511.5499999999986,True,155,"(0, 0)"
32,0,0.9643243243243244,False,4.305915929927122,-607.9799999999974,False,298,"(0, 0)"
33,0,0.9632094594594595,False,4.33666135520743,-587.979999999998,False,298,"(0, 0)"
34,0,0.9620945945945946,True,4.3103144335098005,-312.9399999999973,True,294,"(0, 0)"
35,0,0.9609797297297298,False,4.151377437898777,-748.9799999999973,False,298,"(0, 0)"
36,0,0.9598648648648649,False,4.378539978657793,-1150.9799999999975,False,298,"(0, 0)"
37,0,0.95875,False,4.2015220454875255,-527.9799999999983,False,298,"(0, 0)"
38,0,0.9576351351351351,True,4.428633597764102,-311.5399999999986,True,154,"(0, 0)"
39,0,0.9565202702702703,False,4.369873966946698,-655.9799999999973,False,298,"(0, 0)"
40,0,0.9554054054054054,False,4.450043194846019,-788.9799999999973,False,298,"(0, 0)"
41,0,0.9542905405405405,False,4.219273474992522,-386.97999999999786,False,298,"(0, 0)"
42,0,0.9531756756756756,False,4.449246230541459,-185.97999999999735,False,298,"(0, 0)"
43,0,0.9520608108108108,False,4.376585687766939,-1801.9799999999982,False,298,"(0, 0)"
44,0,0.950945945945946,False,4.441227048035436,-929.9799999999977,False,298,"(0, 0)"
45,0,0.949831081081081,False,4.455557304340721,-949.979999999998,False,298,"(0, 0)"
46,0,0.9487162162162163,False,4.308227239639167,-969.9799999999973,False,298,"(0, 0)"
47,0,0.9476013513513514,False,4.4130277569662,-426.97999999999934,False,298,"(0, 0)"
48,0,0.9464864864864865,False,4.391075734124088,-229.97999999999809,False,298,"(0, 0)"
49,0,0.9453716216216216,False,4.354688312383306,-788.9799999999973,False,298,"(0, 0)"
50,0,0.9442567567567568,False,4.2557593783076175,-748.9799999999974,False,298,"(0, 0)"
51,0,0.9431418918918919,False,4.293304124134499,-1371.9799999999973,False,298,"(0, 0)"
52,0,0.942027027027027,True,4.19498858126727,88.68000000000022,True,132,"(0, 0)"
53,0,0.9409121621621621,False,4.089463925801668,-1793.9799999999977,False,298,"(0, 0)"
54,0,0.9397972972972973,False,4.346654417330787,-366.9799999999983,False,298,"(0, 0)"
55,0,0.9386824324324324,False,4.3301002979278564,-1230.9799999999977,False,298,"(0, 0)"
56,0,0.9375675675675675,False,4.2136061359571935,-165.97999999999735,False,298,"(0, 0)"
57,0,0.9364527027027028,False,4.273718080664641,-547.9799999999981,False,298,"(0, 0)"
58,0,0.9353378378378379,False,4.128458203285333,-949.9799999999987,False,298,"(0, 0)"
59,0,0.934222972972973,False,4.22744910749013,-808.9799999999973,False,298,"(0, 0)"
60,0,0.9331081081081081,False,4.138642092179132,-366.97999999999814,False,298,"(0, 0)"
61,0,0.9319932432432433,False,4.065415838620806,-788.9799999999973,False,298,"(0, 0)"
62,0,0.9308783783783784,True,3.9430447012879126,88.28000000000081,True,172,"(0, 0)"
63,0,0.9297635135135135,False,3.942822539566347,-1371.9799999999975,False,298,"(0, 0)"
64,0,0.9286486486486487,False,3.9808784797287626,-1532.9799999999973,False,298,"(0, 0)"
65,0,0.9275337837837838,False,4.036208299582436,55.019999999999996,False,298,"(0, 0)"
66,0,0.9264189189189189,False,4.1593806099571635,-1371.9799999999973,False,298,"(0, 0)"
67,0,0.925304054054054,False,4.109746957285292,-1632.9799999999975,False,298,"(0, 0)"
68,0,0.9241891891891892,True,4.16790785836546,88.48000000000052,True,152,"(0, 0)"
69,0,0.9230743243243243,False,4.051748745793464,-788.9799999999973,False,298,"(0, 0)"
70,0,0.9219594594594595,False,4.069714258381184,-1210.9799999999984,False,298,"(0, 0)"
71,0,0.9208445945945946,False,4.234444323202108,-406.9799999999986,False,298,"(0, 0)"
72,0,0.9197297297297298,True,3.926375514931149,-511.3499999999992,True,135,"(0, 0)"
73,0,0.9186148648648649,True,3.9088785395372745,88.28000000000118,True,172,"(0, 0)"
74,0,0.9175,True,4.123176071204637,88.47999999999988,True,152,"(0, 0)"
75,0,0.9163851351351351,False,4.085638927933354,-366.97999999999735,False,298,"(0, 0)"
76,0,0.9152702702702703,True,4.085771605547737,-512.5499999999977,True,255,"(0, 0)"
77,0,0.9141554054054054,False,4.068259959852935,75.02000000000005,False,298,"(0, 0)"
78,0,0.9130405405405405,True,3.9455993245629704,-111.52999999999867,True,153,"(0, 0)"
79,0,0.9119256756756757,False,4.077692826322261,-1552.9799999999975,False,298,"(0, 0)"
80,0,0.9108108108108108,False,4.041938684130675,-567.9799999999982,False,298,"(0, 0)"
81,0,0.9096959459459459,False,4.137605784123376,-1210.9799999999982,False,298,"(0, 0)"
82,0,0.908581081081081,False,4.08481583879298,-366.97999999999803,False,298,"(0, 0)"
83,0,0.9074662162162163,False,4.180493255189601,-386.97999999999786,False,298,"(0, 0)"
84,0,0.9063513513513514,True,3.9106100692468533,-1112.379999999998,True,238,"(0, 0)"
85,0,0.9052364864864865,True,4.04394055239727,-111.72999999999848,True,173,"(0, 0)"
86,0,0.9041216216216217,True,4.071536973118782,88.08000000000145,True,192,"(0, 0)"
87,0,0.9030067567567568,False,3.941491621852721,-326.9799999999997,False,298,"(0, 0)"
88,0,0.9018918918918919,False,4.08149788633689,-728.9799999999977,False,298,"(0, 0)"
89,0,0.900777027027027,False,3.961119552986734,-366.97999999999786,False,298,"(0, 0)"
90,0,0.8996621621621621,True,4.1941184837858385,-912.3699999999978,True,237,"(0, 0)"
91,0,0.8985472972972973,False,4.213608995780048,-929.9799999999976,False,298,"(0, 0)"
92,0,0.8974324324324324,False,4.1759531861983685,-229.97999999999783,False,298,"(0, 0)"
93,0,0.8963175675675675,False,3.9974671848268315,-1431.9799999999984,False,298,"(0, 0)"
94,0,0.8952027027027027,False,4.1759185759013135,-828.9799999999976,False,298,"(0, 0)"
95,0,0.8940878378378379,False,4.0425545102197855,-1411.979999999998,False,298,"(0, 0)"
96,0,0.892972972972973,True,4.38834320937886,-512.5499999999984,True,255,"(0, 0)"
97,0,0.8918581081081081,False,4.048853145349746,-748.9799999999973,False,298,"(0, 0)"
98,0,0.8907432432432433,True,4.099865158629972,88.28000000000047,True,172,"(0, 0)"
99,0,0.8896283783783784,False,4.2093512025855535,-145.9799999999998,False,298,"(0, 0)"
100,0,0.8885135135135135,True,4.2066509951337725,-112.3299999999989,True,233,"(0, 0)"
101,0,0.8873986486486487,True,3.8555495661680204,-112.92999999999756,True,293,"(0, 0)"
102,0,0.8862837837837838,False,4.048570618333432,-828.9799999999979,False,298,"(0, 0)"
103,0,0.8851689189189189,True,4.016896482116433,-110.9299999999995,True,93,"(0, 0)"
104,0,0.884054054054054,True,3.9503716950086836,-310.93999999999915,True,94,"(0, 0)"
105,0,0.8829391891891892,False,4.080456662998103,-1391.9799999999975,False,298,"(0, 0)"
106,0,0.8818243243243243,False,4.115713877165877,-366.97999999999837,False,298,"(0, 0)"
107,0,0.8807094594594594,False,4.114051877852254,-1552.9799999999975,False,298,"(0, 0)"
108,0,0.8795945945945945,False,4.1939271375436915,-1230.9799999999984,False,298,"(0, 0)"
109,0,0.8784797297297298,False,4.24881847332788,-366.97999999999735,False,298,"(0, 0)"
110,0,0.8773648648648649,False,4.320113550496582,-1210.9799999999977,False,298,"(0, 0)"
111,0,0.87625,True,3.9896475640676354,-110.92999999999932,True,93,"(0, 0)"
112,0,0.8751351351351352,False,4.198763249504486,-1833.9799999999975,False,298,"(0, 0)"
113,0,0.8740202702702703,False,4.313396775482485,-567.9799999999987,False,298,"(0, 0)"
114,0,0.8729054054054054,True,4.245176841881102,288.4899999999999,True,151,"(0, 0)"
115,0,0.8717905405405405,True,4.272964423415305,-311.73999999999864,True,174,"(0, 0)"
116,0,0.8706756756756757,False,4.485381746452127,-828.9799999999983,False,298,"(0, 0)"
117,0,0.8695608108108108,False,4.392773436819947,-788.9799999999984,False,298,"(0, 0)"
118,0,0.8684459459459459,True,4.236788818612695,88.08000000000116,True,192,"(0, 0)"
119,0,0.867331081081081,False,4.261765570548556,-1351.9799999999973,False,298,"(0, 0)"
120,0,0.8662162162162163,False,4.509731022703567,-1371.9799999999973,False,298,"(0, 0)"
121,0,0.8651013513513514,False,4.304404790369456,-836.979999999998,False,298,"(0, 0)"
122,0,0.8639864864864865,False,4.284348215832806,-1411.9799999999973,False,298,"(0, 0)"
123,0,0.8628716216216217,False,4.364418543825214,-808.9799999999974,False,298,"(0, 0)"
124,0,0.8617567567567568,False,4.387995286275877,-1150.9799999999973,False,298,"(0, 0)"
