Model,Scenario,instance_name,execution_time,result,ExpandedStates,UsedStates,ExpandedTransitions,UsedTransitions,Elapsed in Synthesis,findNewGoalsCalls,findNewErrorsCalls,propagateGoalsCalls,propagateErrorsCalls,maxMemoryUsed,heuristicTime,Composition time
DQN Agent 400e,0obstacles_1,sokoban-6-1_0obstacles_1,2.990809679031372,OK,7061,272,7637,273,2574,1,672,1,285,,0,116
DQN Agent 1000e,0obstacles_1,sokoban-6-1_0obstacles_1,2.573695421218872,OK,6791,200,7543,200,2158,1,706,1,271,,0,123
Previous RL,0obstacles_1,sokoban-6-1_0obstacles_1,11.0983145236969,OK,11419,270,12898,273,10660,1,956,1,440,,0,120
DQN Agent 400e,0obstacles_10,sokoban-6-1_0obstacles_10,7.229345798492432,OK,11707,148,12991,150,6781,1,1473,1,519,,0,116
DQN Agent 1000e,0obstacles_10,sokoban-6-1_0obstacles_10,1.9724161624908447,OK,5772,196,6347,197,1527,1,525,1,221,,0,122
Previous RL,0obstacles_10,sokoban-6-1_0obstacles_10,1.3688287734985352,OK,2997,94,3310,94,994,1,197,1,101,,0,123
DQN Agent 400e,0obstacles_2,sokoban-6-1_0obstacles_2,3.224280834197998,OK,9723,274,10521,274,2811,1,927,1,394,,0,123
DQN Agent 1000e,0obstacles_2,sokoban-6-1_0obstacles_2,3.839947462081909,OK,10062,400,11033,401,3417,1,918,1,398,,0,119
Previous RL,0obstacles_2,sokoban-6-1_0obstacles_2,24.47706413269043,OK,15956,154,18159,154,24063,1,1472,1,663,,0,116
DQN Agent 400e,0obstacles_3,sokoban-6-1_0obstacles_3,6.431962728500366,OK,12632,252,13737,254,5960,1,1276,1,527,,0,115
DQN Agent 1000e,0obstacles_3,sokoban-6-1_0obstacles_3,0.8728280067443848,OK,1296,194,1385,194,482,1,96,1,43,,0,113
Previous RL,0obstacles_3,sokoban-6-1_0obstacles_3,1.6202359199523926,OK,2998,118,3303,120,1120,1,193,1,101,,0,116
DQN Agent 400e,0obstacles_4,sokoban-6-1_0obstacles_4,1.3708794116973877,OK,2979,412,3206,416,936,1,261,1,112,,0,125
DQN Agent 1000e,0obstacles_4,sokoban-6-1_0obstacles_4,8.701230764389038,OK,11973,272,13253,281,8298,1,1238,1,465,,0,116
Previous RL,0obstacles_4,sokoban-6-1_0obstacles_4,1.4533545970916748,OK,3295,140,3634,143,1088,1,216,1,102,,0,113
DQN Agent 400e,0obstacles_5,sokoban-6-1_0obstacles_5,1.7475082874298096,OK,3940,236,4283,237,1357,1,391,1,160,,0,120
DQN Agent 1000e,0obstacles_5,sokoban-6-1_0obstacles_5,5.229410409927368,OK,5310,382,5814,385,4822,1,515,1,196,,0,125
Previous RL,0obstacles_5,sokoban-6-1_0obstacles_5,1.3268353939056396,OK,2518,230,2777,238,947,1,166,1,98,,0,116
DQN Agent 400e,0obstacles_6,sokoban-6-1_0obstacles_6,0.9950494766235352,OK,1660,260,1806,264,625,1,166,1,67,,0,116
DQN Agent 1000e,0obstacles_6,sokoban-6-1_0obstacles_6,0.7669949531555176,OK,410,132,430,132,413,1,20,1,12,,0,106
Previous RL,0obstacles_6,sokoban-6-1_0obstacles_6,1.1019237041473389,OK,1781,128,1957,131,741,1,110,1,48,,0,120
DQN Agent 400e,0obstacles_7,sokoban-6-1_0obstacles_7,1.007798194885254,OK,1780,234,1912,235,634,1,158,1,68,,0,120
DQN Agent 1000e,0obstacles_7,sokoban-6-1_0obstacles_7,17.207714796066284,OK,16198,220,18151,222,16786,1,1936,1,653,,0,121
Previous RL,0obstacles_7,sokoban-6-1_0obstacles_7,1.1057825088500977,OK,1571,248,1741,256,688,1,111,1,54,,0,114
DQN Agent 400e,0obstacles_8,sokoban-6-1_0obstacles_8,4.331692457199097,OK,7493,528,8122,531,3868,1,739,1,310,,0,125
DQN Agent 1000e,0obstacles_8,sokoban-6-1_0obstacles_8,1.446993350982666,OK,3298,256,3552,257,1054,1,253,1,126,,0,123
Previous RL,0obstacles_8,sokoban-6-1_0obstacles_8,2.6645541191101074,OK,5868,130,6522,132,2260,1,407,1,196,,0,119
DQN Agent 400e,0obstacles_9,sokoban-6-1_0obstacles_9,3.8711636066436768,OK,7025,536,7619,541,3441,1,700,1,283,,0,117
DQN Agent 1000e,0obstacles_9,sokoban-6-1_0obstacles_9,1.508939504623413,OK,3461,286,3727,288,1141,1,250,1,126,,0,115
Previous RL,0obstacles_9,sokoban-6-1_0obstacles_9,1.4059422016143799,OK,3258,116,3578,117,1053,1,203,1,102,,0,112
DQN Agent 400e,1obstacles_1,sokoban-6-1_1obstacles_1,3.022965431213379,OK,6703,260,7264,262,2538,1,655,1,278,,0,116
DQN Agent 1000e,1obstacles_1,sokoban-6-1_1obstacles_1,2.3660647869110107,OK,6794,384,7428,385,1927,1,589,1,258,,0,126
Previous RL,1obstacles_1,sokoban-6-1_1obstacles_1,17.71806573867798,OK,13760,666,15587,678,17287,1,1207,1,561,,0,117
DQN Agent 400e,1obstacles_10,sokoban-6-1_1obstacles_10,1.7232768535614014,OK,4015,246,4347,247,1336,1,379,1,164,,0,120
DQN Agent 1000e,1obstacles_10,sokoban-6-1_1obstacles_10,0.7265594005584717,OK,153,90,157,90,370,1,4,1,3,,0,112
Previous RL,1obstacles_10,sokoban-6-1_1obstacles_10,0.8557946681976318,OK,536,198,608,207,490,1,50,1,21,,0,121
DQN Agent 400e,1obstacles_2,sokoban-6-1_1obstacles_2,0.9995505809783936,OK,2764,148,2953,148,618,1,195,1,98,,0,126
DQN Agent 1000e,1obstacles_2,sokoban-6-1_1obstacles_2,3.5125043392181396,OK,6983,128,7643,128,3070,1,636,1,270,,0,116
Previous RL,1obstacles_2,sokoban-6-1_1obstacles_2,4.878244400024414,OK,6395,128,7160,128,4445,1,485,1,235,,0,125
DQN Agent 400e,1obstacles_3,sokoban-6-1_1obstacles_3,6.621516704559326,OK,11707,148,12991,150,6226,1,1473,1,519,,0,114
DQN Agent 1000e,1obstacles_3,sokoban-6-1_1obstacles_3,1.8911476135253906,OK,5772,196,6347,197,1501,1,525,1,221,,0,116
Previous RL,1obstacles_3,sokoban-6-1_1obstacles_3,1.439657211303711,OK,2997,94,3310,94,1084,1,197,1,101,,0,114
DQN Agent 400e,1obstacles_4,sokoban-6-1_1obstacles_4,5.39394736289978,OK,7088,508,7694,511,4953,1,683,1,288,,0,124
DQN Agent 1000e,1obstacles_4,sokoban-6-1_1obstacles_4,11.42725920677185,OK,13873,212,15372,212,11006,1,1424,1,550,,0,120
Previous RL,1obstacles_4,sokoban-6-1_1obstacles_4,11.213157415390015,OK,11974,330,13519,335,10782,1,1006,1,463,,0,127
DQN Agent 400e,1obstacles_5,sokoban-6-1_1obstacles_5,2.8827319145202637,OK,5738,468,6215,474,2326,1,561,1,233,,0,127
DQN Agent 1000e,1obstacles_5,sokoban-6-1_1obstacles_5,2.524315357208252,OK,2107,298,2253,298,1876,1,151,1,74,,0,119
Previous RL,1obstacles_5,sokoban-6-1_1obstacles_5,1.5287775993347168,OK,3122,230,3449,238,1109,1,210,1,108,,0,124
DQN Agent 400e,1obstacles_6,sokoban-6-1_1obstacles_6,2.2123239040374756,OK,5492,270,5931,271,1820,1,516,1,222,,0,118
DQN Agent 1000e,1obstacles_6,sokoban-6-1_1obstacles_6,1.4155895709991455,OK,3550,238,3902,238,1024,1,321,1,131,,0,119
Previous RL,1obstacles_6,sokoban-6-1_1obstacles_6,1.3828322887420654,OK,2959,118,3247,120,994,1,183,1,101,,0,119
DQN Agent 400e,1obstacles_7,sokoban-6-1_1obstacles_7,11.615581274032593,OK,15440,184,16850,184,11211,1,1600,1,651,,0,113
DQN Agent 1000e,1obstacles_7,sokoban-6-1_1obstacles_7,0.8354814052581787,OK,804,60,864,60,447,1,56,1,23,,0,124
Previous RL,1obstacles_7,sokoban-6-1_1obstacles_7,0.8006682395935059,OK,346,140,376,145,444,1,20,1,15,,0,113
DQN Agent 400e,1obstacles_8,sokoban-6-1_1obstacles_8,23.788907766342163,OK,19164,208,21457,211,23363,1,2576,1,870,,0,123
DQN Agent 1000e,1obstacles_8,sokoban-6-1_1obstacles_8,2.4335570335388184,OK,5245,216,5733,216,2030,1,501,1,201,,0,117
Previous RL,1obstacles_8,sokoban-6-1_1obstacles_8,1.6040279865264893,OK,3326,152,3682,156,1229,1,226,1,102,,0,120
DQN Agent 400e,1obstacles_9,sokoban-6-1_1obstacles_9,2.0822789669036865,OK,4166,518,4511,521,1685,1,405,1,170,,0,117
DQN Agent 1000e,1obstacles_9,sokoban-6-1_1obstacles_9,11.533501863479614,OK,14050,642,15597,648,11111,1,1469,1,547,,0,116
Previous RL,1obstacles_9,sokoban-6-1_1obstacles_9,12.34677004814148,OK,12393,444,13989,458,11716,1,1040,1,476,,0,115
DQN Agent 400e,2obstacles_1,sokoban-6-1_2obstacles_1,4.183847427368164,OK,7802,368,8514,370,3732,1,832,1,415,,0,120
DQN Agent 1000e,2obstacles_1,sokoban-6-1_2obstacles_1,3.1996543407440186,OK,8480,250,9291,250,2779,1,738,1,353,,0,123
Previous RL,2obstacles_1,sokoban-6-1_2obstacles_1,2.3640077114105225,OK,4316,226,4831,229,1989,1,382,1,229,,0,120
DQN Agent 400e,2obstacles_10,sokoban-6-1_2obstacles_10,3.5126309394836426,OK,7079,662,7725,665,3085,1,738,1,367,,0,113
DQN Agent 1000e,2obstacles_10,sokoban-6-1_2obstacles_10,1.578455924987793,OK,1161,148,1245,148,876,1,83,1,43,,0,124
Previous RL,2obstacles_10,sokoban-6-1_2obstacles_10,1.3070592880249023,OK,2327,198,2576,203,896,1,184,1,119,,0,112
DQN Agent 400e,2obstacles_2,sokoban-6-1_2obstacles_2,3.7763750553131104,OK,8268,330,9146,337,3344,1,1009,1,442,,0,127
DQN Agent 1000e,2obstacles_2,sokoban-6-1_2obstacles_2,3.128753423690796,OK,6925,344,7599,346,2724,1,684,1,261,,0,115
Previous RL,2obstacles_2,sokoban-6-1_2obstacles_2,2.743374824523926,OK,6078,336,6797,343,2332,1,510,1,264,,0,114
DQN Agent 400e,2obstacles_3,sokoban-6-1_2obstacles_3,13.730763912200928,OK,14087,538,15836,544,13325,1,1913,1,872,,0,115
DQN Agent 1000e,2obstacles_3,sokoban-6-1_2obstacles_3,14.703959703445435,OK,16324,762,18405,780,14272,1,1921,1,715,,0,130
