episode,starting_total_steps,starting_epsilon,is_win,avg_loss,reward,win,steps,composition_size
0,0,1.0,False,0.5207652278142433,-738.9199999999983,False,292,"(0, 0)"
1,0,0.9972112676056338,True,5.096777526387629,-510.64999999999804,True,265,"(0, 0)"
2,0,0.9944225352112676,True,4.919241605472172,-118.42999999999785,True,243,"(0, 0)"
3,0,0.9916338028169014,False,5.497185996950489,-1112.9199999999973,False,292,"(0, 0)"
4,0,0.9888450704225352,False,6.947536827766732,-3339.9200000000237,False,292,"(0, 0)"
5,0,0.986056338028169,False,7.807337108540208,-935.9199999999973,False,292,"(0, 0)"
6,0,0.9832676056338028,False,7.9711388202562725,-935.9199999999976,False,292,"(0, 0)"
7,0,0.9804788732394366,False,7.138714996102738,-601.9199999999973,False,292,"(0, 0)"
8,0,0.9776901408450704,False,6.935067917386147,-581.9199999999987,False,292,"(0, 0)"
9,0,0.9749014084507043,True,6.718647646052497,-314.23999999999796,True,224,"(0, 0)"
10,0,0.972112676056338,False,6.992567316310047,-1506.9199999999973,False,292,"(0, 0)"
11,0,0.9693239436619718,True,7.027353934838739,78.58000000000074,True,142,"(0, 0)"
12,0,0.9665352112676057,True,6.80631335042812,-118.82999999999788,True,283,"(0, 0)"
13,0,0.9637464788732394,True,6.71453392635221,-313.8399999999983,True,184,"(0, 0)"
14,0,0.9609577464788732,False,7.073834990801877,-1393.9199999999973,False,292,"(0, 0)"
15,0,0.958169014084507,False,7.01826138529059,-344.9199999999978,False,292,"(0, 0)"
16,0,0.9553802816901409,False,6.626330980699357,-758.9199999999979,False,292,"(0, 0)"
17,0,0.9525915492957746,False,6.4785103552962005,-581.9199999999989,False,292,"(0, 0)"
18,0,0.9498028169014084,False,6.6655237519577755,-1413.9199999999973,False,292,"(0, 0)"
19,0,0.9470140845070423,True,6.851403903270113,-902.0699999999981,True,207,"(0, 0)"
20,0,0.944225352112676,False,7.102864902313441,-1980.919999999998,False,292,"(0, 0)"
21,0,0.9414366197183098,False,7.455631962377731,-1212.9199999999987,False,292,"(0, 0)"
22,0,0.9386478873239437,False,7.4737280288787735,-601.9199999999985,False,292,"(0, 0)"
23,0,0.9358591549295775,False,7.278846985673251,-2004.9199999999976,False,292,"(0, 0)"
24,0,0.9330704225352113,False,7.657546885209541,-605.9199999999975,False,292,"(0, 0)"
25,0,0.930281690140845,False,7.448794512716058,-778.9199999999977,False,292,"(0, 0)"
26,0,0.9274929577464789,True,7.046522781089112,78.18000000000124,True,182,"(0, 0)"
27,0,0.9247042253521127,False,7.367718244252139,-1960.9199999999976,False,292,"(0, 0)"
28,0,0.9219154929577464,False,7.764943223293513,-1743.9199999999976,False,292,"(0, 0)"
29,0,0.9191267605633803,True,7.998342589176063,-509.64999999999907,True,165,"(0, 0)"
30,0,0.9163380281690141,False,7.898989634154594,-778.919999999998,False,292,"(0, 0)"
31,0,0.9135492957746479,True,7.976337895357519,-706.6599999999978,True,266,"(0, 0)"
32,0,0.9107605633802817,False,7.62345954653335,-1606.9199999999976,False,292,"(0, 0)"
33,0,0.9079718309859155,True,7.785539898445935,-117.22999999999894,True,123,"(0, 0)"
34,0,0.9051830985915493,False,7.750774795878423,-1610.9199999999973,False,292,"(0, 0)"
35,0,0.9023943661971832,False,7.56739384180879,-1594.9199999999973,False,292,"(0, 0)"
36,0,0.8996056338028169,False,7.741536116763337,-758.9199999999973,False,292,"(0, 0)"
37,0,0.8968169014084507,True,7.728483251758389,-117.42999999999938,True,143,"(0, 0)"
38,0,0.8940281690140846,False,7.67675939733035,-1586.919999999998,False,292,"(0, 0)"
39,0,0.8912394366197183,False,7.772502028778808,-818.9199999999985,False,292,"(0, 0)"
40,0,0.8884507042253521,True,7.579556572632711,78.78000000000087,True,122,"(0, 0)"
41,0,0.8856619718309859,True,7.555349222043666,79.18000000000052,True,82,"(0, 0)"
42,0,0.8828732394366198,False,7.568203194500649,-1409.9199999999976,False,292,"(0, 0)"
43,0,0.8800845070422535,False,7.501276547778143,-1586.919999999998,False,292,"(0, 0)"
44,0,0.8772957746478873,False,7.58220491915533,-995.919999999998,False,292,"(0, 0)"
45,0,0.8745070422535212,True,7.413004433522459,-314.43999999999903,True,244,"(0, 0)"
46,0,0.871718309859155,False,7.692408889123838,-2157.9199999999983,False,292,"(0, 0)"
47,0,0.8689295774647887,True,7.825098099000004,-1294.4899999999989,True,249,"(0, 0)"
48,0,0.8661408450704225,True,7.614020619226332,273.9900000000001,True,201,"(0, 0)"
49,0,0.8633521126760564,False,7.5439901882655,-1152.9199999999985,False,292,"(0, 0)"
50,0,0.8605633802816901,True,7.615707133075978,77.98000000000054,True,202,"(0, 0)"
51,0,0.8577746478873239,True,7.538172311121874,274.99,True,101,"(0, 0)"
52,0,0.8549859154929578,False,7.342581715485821,-955.9199999999976,False,292,"(0, 0)"
53,0,0.8521971830985915,False,7.208242630305356,-935.9199999999978,False,292,"(0, 0)"
54,0,0.8494084507042253,False,7.302910337709401,-1783.9199999999978,False,292,"(0, 0)"
55,0,0.8466197183098592,False,7.611989406690205,-778.9199999999977,False,292,"(0, 0)"
56,0,0.8438309859154929,True,7.338109971771778,78.57999999999996,True,142,"(0, 0)"
57,0,0.8410422535211267,True,7.588653639138463,-116.82999999999987,True,83,"(0, 0)"
58,0,0.8382535211267605,False,7.213665870771016,-1349.9199999999978,False,292,"(0, 0)"
59,0,0.8354647887323944,True,7.524197541750395,-313.0399999999995,True,104,"(0, 0)"
60,0,0.8326760563380282,False,7.3012421735345505,-1369.9199999999978,False,292,"(0, 0)"
61,0,0.8298873239436619,False,7.3780082096792245,-1132.9199999999973,False,292,"(0, 0)"
62,0,0.8270985915492958,False,7.555980744427198,-1349.9199999999976,False,292,"(0, 0)"
63,0,0.8243098591549296,False,7.557858851674485,-561.9199999999981,False,292,"(0, 0)"
64,0,0.8215211267605633,False,7.365664683792689,-1980.9199999999973,False,292,"(0, 0)"
65,0,0.8187323943661972,False,7.419088051743703,-1369.9199999999978,False,292,"(0, 0)"
66,0,0.815943661971831,False,7.247834588566872,-1409.9199999999973,False,292,"(0, 0)"
67,0,0.8131549295774648,False,7.208410902382576,-838.9199999999985,False,292,"(0, 0)"
68,0,0.8103661971830987,False,7.302694390897882,-1216.919999999998,False,292,"(0, 0)"
69,0,0.8075774647887324,False,7.281754310816934,-1172.9199999999973,False,292,"(0, 0)"
70,0,0.8047887323943662,False,7.369571304484589,-1960.9199999999976,False,292,"(0, 0)"
71,0,0.802,True,7.232531393812002,-117.82999999999856,True,183,"(0, 0)"
72,0,0.7992112676056338,False,7.253812021588626,-625.919999999998,False,292,"(0, 0)"
73,0,0.7964225352112676,False,7.2570221375112665,-2768.920000000012,False,292,"(0, 0)"
74,0,0.7936338028169014,False,7.498785978310729,-1329.9199999999973,False,292,"(0, 0)"
75,0,0.7908450704225352,False,7.658939377902305,-167.91999999999905,False,292,"(0, 0)"
76,0,0.788056338028169,True,7.123325814477733,-314.4399999999978,True,244,"(0, 0)"
77,0,0.7852676056338028,True,7.302209721816765,78.18000000000053,True,182,"(0, 0)"
78,0,0.7824788732394365,True,7.171432270092911,-902.6699999999978,True,267,"(0, 0)"
79,0,0.7796901408450704,True,6.880145955416891,-313.4399999999997,True,144,"(0, 0)"
80,0,0.7769014084507042,True,7.070686186640716,274.7900000000001,True,121,"(0, 0)"
81,0,0.774112676056338,False,7.115522595301067,-1015.9199999999978,False,292,"(0, 0)"
82,0,0.7713239436619719,False,7.146482967350581,-561.9199999999977,False,292,"(0, 0)"
83,0,0.7685352112676056,False,7.081723092353507,-1192.9199999999973,False,292,"(0, 0)"
84,0,0.7657464788732394,False,7.0625351308143305,-541.9199999999973,False,292,"(0, 0)"
85,0,0.7629577464788733,False,6.959160927223833,-1610.9199999999973,False,292,"(0, 0)"
86,0,0.760169014084507,True,7.124598889816098,79.18000000000052,True,82,"(0, 0)"
87,0,0.7573802816901408,False,7.009628901742909,-1015.919999999998,False,292,"(0, 0)"
88,0,0.7545915492957747,True,7.056324829525418,-510.24999999999795,True,225,"(0, 0)"
89,0,0.7518028169014085,False,6.926471485667033,-758.9199999999976,False,292,"(0, 0)"
90,0,0.7490140845070423,False,6.81925680376079,-1132.9199999999976,False,292,"(0, 0)"
91,0,0.746225352112676,True,7.012326085470556,-117.22999999999894,True,123,"(0, 0)"
92,0,0.7434366197183099,False,6.7942623659356,-915.9199999999975,False,292,"(0, 0)"
93,0,0.7406478873239437,False,7.051482669294697,-38.919999999999746,False,292,"(0, 0)"
94,0,0.7378591549295774,True,6.817905787355411,274.38999999999993,True,161,"(0, 0)"
95,0,0.7350704225352114,True,6.764847130544724,-313.2399999999992,True,124,"(0, 0)"
96,0,0.7322816901408451,True,6.629323174665262,78.18000000000033,True,182,"(0, 0)"
97,0,0.7294929577464788,True,6.675687855266663,-705.6599999999987,True,166,"(0, 0)"
98,0,0.7267042253521127,True,6.618407387225354,-314.4399999999978,True,244,"(0, 0)"
99,0,0.7239154929577465,False,6.734702801051205,49.08000000000027,False,292,"(0, 0)"
100,0,0.7211267605633802,True,6.585751340037486,78.7800000000009,True,122,"(0, 0)"
101,0,0.7183380281690142,True,6.767990452902658,274.39000000000004,True,161,"(0, 0)"
102,0,0.7155492957746479,True,6.385056647387418,-706.8599999999976,True,286,"(0, 0)"
103,0,0.7127605633802817,True,6.30060205930545,78.38000000000069,True,162,"(0, 0)"
104,0,0.7099718309859155,True,6.6502019132055885,-510.0499999999987,True,205,"(0, 0)"
105,0,0.7071830985915493,True,6.340035459385859,-118.22999999999831,True,223,"(0, 0)"
106,0,0.7043943661971831,False,6.392185950932437,-1112.9199999999978,False,292,"(0, 0)"
107,0,0.7016056338028169,False,6.525748037312129,-521.919999999998,False,292,"(0, 0)"
108,0,0.6988169014084507,False,6.403683079432135,-1723.9199999999973,False,292,"(0, 0)"
109,0,0.6960281690140846,True,6.294759254706533,-706.6599999999984,True,266,"(0, 0)"
110,0,0.6932394366197183,True,6.306628967894882,78.78000000000021,True,122,"(0, 0)"
111,0,0.690450704225352,True,6.3356237091669225,79.18000000000052,True,82,"(0, 0)"
112,0,0.6876619718309859,True,6.355758298672903,-118.22999999999809,True,223,"(0, 0)"
113,0,0.6848732394366197,False,6.246370525392767,-227.91999999999862,False,292,"(0, 0)"
114,0,0.6820845070422534,False,6.269459340670338,-621.9199999999994,False,292,"(0, 0)"
115,0,0.6792957746478874,True,6.332585238828892,79.18000000000052,True,82,"(0, 0)"
116,0,0.6765070422535211,False,6.3238474408241165,-822.9199999999987,False,292,"(0, 0)"
117,0,0.6737183098591549,False,6.093355329885875,-758.9199999999978,False,292,"(0, 0)"
118,0,0.6709295774647888,True,6.264715846905038,274.79,True,121,"(0, 0)"
119,0,0.6681408450704225,True,6.231830169267184,-118.22999999999934,True,223,"(0, 0)"
120,0,0.6653521126760564,True,6.29021181823304,274.39000000000004,True,161,"(0, 0)"
121,0,0.6625633802816902,False,6.135366078925459,-1803.9199999999985,False,292,"(0, 0)"
122,0,0.659774647887324,True,6.069121261015006,274.59,True,141,"(0, 0)"
123,0,0.6569859154929578,True,5.986030874785429,274.39,True,161,"(0, 0)"
124,0,0.6541971830985915,False,6.074300215668874,-1329.9199999999976,False,292,"(0, 0)"
125,0,0.6514084507042254,False,5.847063827188047,-1389.9199999999985,False,292,"(0, 0)"
126,0,0.6486197183098592,True,6.0889324887854155,78.78000000000019,True,122,"(0, 0)"
127,0,0.6458309859154929,False,5.911415872508532,-2137.9200000000046,False,292,"(0, 0)"
128,0,0.6430422535211268,True,6.156807907929657,274.59000000000003,True,141,"(0, 0)"
129,0,0.6402535211267606,False,6.26153088514119,-1506.9199999999976,False,292,"(0, 0)"
130,0,0.6374647887323943,True,6.185967948701647,78.38000000000089,True,162,"(0, 0)"
131,0,0.6346760563380281,True,5.880603038797192,-314.0399999999993,True,204,"(0, 0)"
132,0,0.631887323943662,True,6.052823679013685,77.58000000000058,True,242,"(0, 0)"
133,0,0.6290985915492957,False,6.0479866805141915,-738.9199999999973,False,292,"(0, 0)"
134,0,0.6263098591549296,True,5.877958158741083,-118.22999999999928,True,223,"(0, 0)"
135,0,0.6235211267605634,True,6.058738392076375,275.18999999999994,True,81,"(0, 0)"
136,0,0.6207323943661972,True,5.833041202923483,274.78999999999996,True,121,"(0, 0)"
137,0,0.617943661971831,True,6.209103338858661,78.98000000000022,True,102,"(0, 0)"
138,0,0.6151549295774648,False,5.775441079923551,-995.919999999998,False,292,"(0, 0)"
139,0,0.6123661971830986,True,5.868768562384642,-117.82999999999879,True,183,"(0, 0)"
140,0,0.6095774647887324,True,5.763249105877346,275.18999999999994,True,81,"(0, 0)"
141,0,0.6067887323943661,False,5.847011172608154,-1212.919999999998,False,292,"(0, 0)"
142,0,0.604,False,5.91411453526314,-581.9199999999978,False,292,"(0, 0)"
143,0,0.6012112676056338,False,5.5610892335846,-3580.920000000009,False,292,"(0, 0)"
144,0,0.5984225352112675,True,5.917452269876507,78.58000000000088,True,142,"(0, 0)"
145,0,0.5956338028169015,True,5.934587680882421,-1490.8999999999978,True,290,"(0, 0)"
146,0,0.5928450704225352,True,6.093698922498726,78.3800000000008,True,162,"(0, 0)"
